Release Date,Season,Episode,Episode Title,Name,Sentence
2011-06-19,Season 1,Episode 10,Fire and Blood,yoren,"Look at me. Look at me! Do you remember me now, boy, eh? Remember me? There's a bright boy. You'll be coming with me, boy, and you'll be keeping your mouth shut."
2011-06-19,Season 1,Episode 10,Fire and Blood,yoren,"Keep your mouth shut, boy."
2011-06-19,Season 1,Episode 10,Fire and Blood,arya stark,l'm not a boy!
2011-06-19,Season 1,Episode 10,Fire and Blood,yoren,"You're not a smart boy, is that what you're trying to say? Do you want to live, boy?! North, boy, we're going north."
2011-06-19,Season 1,Episode 10,Fire and Blood,bran stark,"lt had three eyes. lt told me to come with him, so l did. We went down into the crypts and my father was there."
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,"Your father's not down there, little lord. Not for many years yet."
2011-06-19,Season 1,Episode 10,Fire and Blood,bran stark,You're afraid. Just like Hodor.
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,l'm not afraid of some hole in the ground.
2011-06-19,Season 1,Episode 10,Fire and Blood,bran stark,You've lived beyond the Wall. What are you scared of? l'm a crippled boy and l'm willing to go.
2011-06-19,Season 1,Episode 10,Fire and Blood,bran stark,"That's my grandfather, Lord Rickard. He was burned alive by the Mad King, Aerys. That's Lyanna, my father's sister. King Robert was supposed to marry her, but Rhaegar Targaryen kidnapped her. Robert started a war to win her back. He killed Rhaegar, but she died anyway. That's where l saw Father."
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,You see? He's not here.
2011-06-19,Season 1,Episode 10,Fire and Blood,rickon stark,"Here, Shaggydog."
2011-06-19,Season 1,Episode 10,Fire and Blood,bran stark,Rickon!
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,That beast is supposed to be chained in the kennels!
2011-06-19,Season 1,Episode 10,Fire and Blood,rickon stark,He doesn't like chains.
2011-06-19,Season 1,Episode 10,Fire and Blood,bran stark,What are you doing down here? Come back up with us.
2011-06-19,Season 1,Episode 10,Fire and Blood,rickon stark,"No, l came to see Father."
2011-06-19,Season 1,Episode 10,Fire and Blood,bran stark,How many times have l told you? He's in King's Landing with Sansa and Arya.
2011-06-19,Season 1,Episode 10,Fire and Blood,rickon stark,He was down here. l saw him.
2011-06-19,Season 1,Episode 10,Fire and Blood,bran stark,Saw him when?
2011-06-19,Season 1,Episode 10,Fire and Blood,rickon stark,"Last night, when l was sleeping. Here, Shaggydog."
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,"You both miss him. lt's only natural he should be in your thoughts and dreams, but that doesn't mean that –"
2011-06-19,Season 1,Episode 10,Fire and Blood,maester luwin,Bran…
2011-06-19,Season 1,Episode 10,Fire and Blood,several stark bannermen,My lady. My lady. My lady.
2011-06-19,Season 1,Episode 10,Fire and Blood,catelyn stark,Robb. Robb! You've ruined your sword.
2011-06-19,Season 1,Episode 10,Fire and Blood,catelyn stark,Shh! Shh! Shh!
2011-06-19,Season 1,Episode 10,Fire and Blood,robb stark,l'll kill them all. Every one of them. l will kill them all.
2011-06-19,Season 1,Episode 10,Fire and Blood,catelyn stark,My boy. They have your sisters. We have to get the girls back. And then we will kill them all.
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,Very amusing. lsn't it a funny song? Thank you for your rendition. l imagine it was even better received at that tavern.
2011-06-19,Season 1,Episode 10,Fire and Blood,marillion,"l'm so sorry, Your Grace. l'll never sing it again, l swear."
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,"Tell me, which do you favor - your fingers or your tongue?"
2011-06-19,Season 1,Episode 10,Fire and Blood,marillion,Your Grace?
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,"Fingers or your tongue? lf you got to keep one, which would it be? Or l could just cut your throat."
2011-06-19,Season 1,Episode 10,Fire and Blood,marillion,"Every man needs hands, Your Grace."
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,Good. Tongue it is.
2011-06-19,Season 1,Episode 10,Fire and Blood,marillion,"Your Grace, please. l won't sing, Your Grace."
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,"Ser llyn, who better than you to carry out the sentence?"
2011-06-19,Season 1,Episode 10,Fire and Blood,marillion,"l beg you! Please, no. No!"
2011-06-19,Season 1,Episode 10,Fire and Blood,marillion,"Your Grace, please. l beg you, l will never sing again! No!"
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,"l'm done for the day. l'll leave the rest of the matters to you, Mother."
2011-06-19,Season 1,Episode 10,Fire and Blood,marillion,"Your Grace, please!"
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,You look quite nice.
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,"Thank you, my lord."
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,Your Grace. l'm King now.
2011-06-19,Season 1,Episode 10,Fire and Blood,marillion,Stop! No!
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,Walk with me. l want to show you something.
2011-06-19,Season 1,Episode 10,Fire and Blood,sandor clegane,"Do as you're bid, child."
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,"And as soon as you've had your blood, l'll put a son in you. Mother says that shouldn't be long."
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,"No! Please, no!"
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,This one's your father. This one here. Look at it and see what happens to traitors.
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,You promised to be merciful.
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,l was. l gave him a clean death. Look at him.
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,"Please let me go home. l won't do any treason, l swear –"
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,"Mother says l'm still to marry you. So you'll stay here, and obey. Look at him!"
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,Well?
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,How long do l have to look?
2011-06-19,Season 1,Episode 10,Fire and Blood,joffrey lannister,As long as it pleases me. Do you want to see the rest?
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,lf it please Your Grace.
