Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Does Ser Hugh have any family in the capital?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,No. I stood vigil for him myself last night. He had no one else.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,He'd never worn this armor before.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Bad luck for him... Going against the Mountain.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Who determines the draw?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,"All the knights draw straws, Lord Stark."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"Aye... But who holds the straws? You've done good work, Sisters."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Life is strange. Not so many years ago we fought as enemies at the Trident.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"I'm glad we never met on the field, Ser Barristan... as is my wife. I don't think the widow's life would suit her."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,You're too modest. I've seen you cut down a dozen great knights.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,My father once told me you were the best he'd ever seen. I never knew the man to be wrong about matters of combat.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,"He was a fine man, your father. What the Mad King did to him was a terrible crime."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,And that lad... He was a squire until a few months ago. How could he afford a new suit of armor?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Perhaps Lord Arryn left him some money? I hear the King wants to joust today.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Yes. That will never happen.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Robert tends to do what he wants.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"If the King got what he wanted all the time, we'd still be fighting a damned rebellion."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lancel lannister,"It's made too small, Your Grace. It won't go."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Your mother was a dumb whore with a fat arse. Did you know that? Look at this idiot! One ball and no brains. He can't even put a man's armor on him properly.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You're too fat for your armor.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Fat? Fat, is it? Is that how you speak to your King? That was funny, is it?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Oh, it's funny, is it?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lancel lannister,"No, Your Grace."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,No? You don't like the Hando s joke?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You're torturing the poor boy.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"You heard the Hand. The King's too fat for his armor! Go find the breastplate stretcher, now!"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,The breastplate stretcher?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,How long before he figures it out?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Maybe you should have one invented.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"All right, all right. But you watch me out there. I still know how to point a lance."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You have no business jousting. Leave that for the young men.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Why? Because I'm king? Piss on that. I want to hit somebody!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,And who's going to hit you back?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Anybody who can. And the last man in his saddle... will be you!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,There's not a man in the Seven Kingdoms would risk hurting you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Are you telling me those cowards would let me win?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Aye.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Drink.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,I'm not thirsty.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Drink. Your King commands it. Gods! Too fat for my armor.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Your squire... A Lannister boy?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Hmm... A bloody idiot... But Cersei insisted. I have Jon Arryn to thank for her. ""Cersei Lannister will make a good match"", he told me. ""You'll need her father on your side."" I thought being King meant I could do whatever I wanted. Enough of this! Let's go watch 'em ride. At least I can smell someone else's blood."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Robert?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"What? Oh! An inspiring sight for the people, eh? Come! Bow before your King! Bow, you shits!"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Where's Arya
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,At her dancing lessons. The Knight of the Flowers.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,"Thank you, Ser Loras."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,Don't let Ser Gregor hurt him.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Hey.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,I can't watch.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,100 gold dragons on the Mountain.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,I'll take that bet.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Now what will I buy with 100 gold dragons? A dozen barrels of Dornish wine? Or a girl from the pleasure houses of Lys?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Or you could even buy a friend.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,He's going to die.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Ser Loras rides well.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"Such a shame, Littlefinger. It would have been so nice for you to have a friend."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And tell me, Lord Renly, when will you be having your friend?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Loras knew his mare was in heat. Quite crafty, really."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,Ser Loras would never do that! There's no honor in tricks.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,No honor but quite a bit of gold.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Stop this madness in the name of your King!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,"I owe you my life, Ser."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sandor clegane,I'm no Ser.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,Remove his hood.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,marillion,"On that eve, the captive Imp down-wards from his horse did limp, no more would he preen and primp, in garb of red and gold."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,This isn't the Kingsroad. You said we were riding for Winterfell.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,I did... often and loudly.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,"Very wise. They'll be out in droves, looking for me in the wrong place. Wordo s probably gotten to my father by now. He'll be offering a handsome reward. Everyone knows a Lannister always pays his debts. Would you be so good as to untie me?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,And why would I do that?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,Why not? Am I going to run? The hill tribes would kill me for my boots. Unless a Shadowcat ate me first.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,Shadowcats and hill tribes are the least of your concerns.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,"Ah... the Eastern Road. We're going to The Vale. You're taking me to your sister's to answer for my imagined crimes. Tell me, Lady Stark. When was the last time you saw your sister?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,Five years ago.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,"She's changed. She was always a bit touched, but now... you might as well kill me here."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,"I am not a murderer, Lannister."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,Neither am I! I had nothing to do with the attempt on your son's life!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,The dagger found
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,What sort of imbecile arms an assassin with his own blade?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,rodrik cassel,Should I gag him?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,Why? Am I starting to make sense?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,rodrik cassel,"My Lady, this way."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,"Untie me. If I die, what's the point?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,Rodrik?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,rodrik cassel,"I'll be fine, my Lady. There's no need to bloody yourself."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bronn,Your first? You need a woman. Nothing like a woman after a fight.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,"Well, I'm willing if she is."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,Bran...
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"The Iron Islands. Sigil - a Kraken. Words - ""We do not sow""."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,Lords?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,The Greyjoys.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,theon greyjoy,"Famed for their skills at archery, navigation and lovemaking."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,And failed rebellions.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,Sigil - a stag. - A crowned stag now that Robert's King.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,Good.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Words - ""Ours is the fury"". Lords - the Baratheons."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,The Westerlands - sigil - a lion.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,Hmm...
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Words - ""A Lannister always pays his debts."""
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,"No. A common saying, but not their official motto."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,Lords - the Lannisters.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,We're still on their words.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,I don't know them.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,You do know them. Think.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Unbowed, unbent, unbroken""."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,That's House Martell.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Righteous in wrath""."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,maester luwin,House Hornwood.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Family, duty, honor""."
