Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Move!
2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Where's the Imp?
2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Arya.
2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,That's Jaime Lannister. The queen's twin brother.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,"Thank you, Nymeria. Septa Mordane says I have to do it again. ""My things weren't properly folded"", she says. Who cares how they're folded?! They're going to get all messed up anyway."
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,"Watch. Nymeria, gloves."
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,"Shut up. Nymeria, gloves!"
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,A present?
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,It's so skinny.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,I can be quick.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,I think so.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,I know which end to use.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Sansa can keep her sewing needles. I've got a needle of my own.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,What are you doing here? Go away.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,He's my friend.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Stop it!
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Nymeria!
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,You've got to go. They'll kill you for what you did to Joffrey. Go on... run. Go! Leave now!
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Go!
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,I'm sorry.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,No.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,That's not true! She just... Bit him a little. He was hurting Mycah.
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,That's not what happened!
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Liar!
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Liar! Liar liar liar!
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Liar liar liar!
2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Lady wasn't there! You leave her alone!
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I'm practicing.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,The Prince.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,He's a liar and a coward and he killed my friend.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,The Hound does whatever the Prince tells him to do.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,"You're a liar. And if you told the truth, Mycah would be alive."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Go away!
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Mine.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I wasn't playing. And I don't want to be a lady.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,It's called Needle.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Stick 'em with the pointy end.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I was trying to learn. I asked Mycah to practice with me. I asked him. It was my fault.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,"I hate them! I hate all of them. The Hound, the Queen and the King and Joffrey and Sansa."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,So was I! He is a liar.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,But how you can let her marry someone like that?
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Winter is coming.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I don't hate her. Not really.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I can keep it?
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Who are you?
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,It's too heavy.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,What if I drop it?
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I'm a girl.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,A needle.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,Syrio says a water dancer can stand on one toe for hours.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,Syrio says every hurt is a lesson and every lesson makes you better. Tomorrow I'm going to be chasing cats.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,He says every swordsman should study cats. They're quiet as shadows and as light as feathers. You have to be quick to catch them.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,Now that Bran's awake will he come live with us?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,"He wants to be a knight of the King's Guard. He can't be one now, can he?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,Can I be Lord of a holdfast?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,No. That's not me.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,Why do they call you Littlefinger?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,Come on. I'm not gonna hurt you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,I'm not a beggar. I live here.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,I want to see my father.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,"My father is Hand of the King! I'm not a boy. I'm Arya Stark of Winterfell and if you lay a hand on me, my father will have both your heads on spikes! Now are you going to let me by or do I need to smack you on the ear to help with your hearing?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,They said they were going to kill you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,"I didn't see them, but I think one was fat."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,I'm not lying! They said you found the bastard and the wolves are fighting the lions and the savage... something about the savage.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,"In the dungeons, near the dragon skulls."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,Chasing a cat.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,I'm a girl!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,How many guards does my father have?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,"You wouldn't let anyone kill him, would you?"
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,I don't want to practice today.
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,They killed Jory. My father is hurt. I don't care about stupid wooden swords.
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,Yes -
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,I don't like dolls and k -
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,Are you dying because of your leg? Is that why you're sending us home?
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,You can't. I've got my lessons with Syrio. I'm finally getting good.
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,Can't we take Syrio back with us?
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,Seven hells.
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,"The lion's not his sigil, idiot. He's a stag, like his father."
2011-05-22,Season 1,Episode 6,A Golden Crown,arya stark,Come on!
2011-06-05,Season 1,Episode 8,The Pointy End,arya stark,"You said right, but you went left."
2011-06-05,Season 1,Episode 8,The Pointy End,arya stark,Only 'cause you lied.
2011-06-05,Season 1,Episode 8,The Pointy End,arya stark,"I was so. I watched, but you..."
2011-06-05,Season 1,Episode 8,The Pointy End,arya stark,My father wouldn't send you.
2011-06-05,Season 1,Episode 8,The Pointy End,arya stark,And I don't have to go with you if I don't want.
2011-06-05,Season 1,Episode 8,The Pointy End,arya stark,Come with me. Run.
2011-06-05,Season 1,Episode 8,The Pointy End,arya stark,Not today.
