Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,"Of course, your Grace."
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,A Tyroshi. Never learned the name.
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,Lance through the heart.
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,"I was there that day. You were only a squire, 16 years old."
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,"A good fighter, Toyne, but he lacked stamina."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,No. I stood vigil for him myself last night. He had no one else.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Bad luck for him... Going against the Mountain.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,"All the knights draw straws, Lord Stark."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Life is strange. Not so many years ago we fought as enemies at the Trident.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,You're too modest. I've seen you cut down a dozen great knights.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,"He was a fine man, your father. What the Mad King did to him was a terrible crime."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Perhaps Lord Arryn left him some money? I hear the King wants to joust today.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Robert tends to do what he wants.
2011-05-22,Season 1,Episode 6,A Golden Crown,barristan selmy,"I don't believe so, your Grace."
2011-05-29,Season 1,Episode 7,You Win or You Die,barristan selmy,He was reeling from the wine.
2011-05-29,Season 1,Episode 7,You Win or You Die,barristan selmy,"His squire, from the king's own skin."
2011-06-05,Season 1,Episode 8,The Pointy End,barristan selmy,"Your Grace, I am yours to command."
2011-06-05,Season 1,Episode 8,The Pointy End,barristan selmy,"Your Grace, the Kingsguard is a sworn brotherhood."
2011-06-05,Season 1,Episode 8,The Pointy End,barristan selmy,Your Grace...
2011-06-05,Season 1,Episode 8,The Pointy End,barristan selmy,The man who profaned his blade with the blood of the King he had sworn to defend!
2011-06-05,Season 1,Episode 8,The Pointy End,barristan selmy,A hall to die in and men to bury me.
2011-06-05,Season 1,Episode 8,The Pointy End,barristan selmy,Even now I could cut through the five of you like carving a cake!
2014-04-20,Season 4,Episode 3,Breaker of Chains,barristan selmy,I believe he means to...
2014-04-20,Season 4,Episode 3,Breaker of Chains,barristan selmy,"Ignore him, Your Grace. These are meaningless words."
2014-04-20,Season 4,Episode 3,Breaker of Chains,barristan selmy,"Your Grace, I've won more single combats than any man alive."
2014-04-27,Season 4,Episode 4,Oathkeeper,barristan selmy,"Your Grace, may I have a word? The city is yours. All these people,they're your subjects now. Sometimes it is better to answer injustice with mercy."
