Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,NO!
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!"
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What about you?
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I saw the king! He's got hundreds of people!
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,But he's coming right now! Down our road!
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I promise.
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What?
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Come on, you."
2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Ten
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,I hate your stories.
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,Those weren't my favorites. My favorites were the scary ones.
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,Maybe we do.
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,"I did though. It's true, isn't it... what Maester Luwin says about my legs? I'd rather be dead."
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,I'd rather be dead.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,I don't want to see anyone.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,I don't want to go.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,"Kneel, Hodor."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,"Yes. Well, I mean I did like to."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,I'm not a cripple.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,Will I really be able to ride?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"The Iron Islands. Sigil - a Kraken. Words - ""We do not sow""."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,The Greyjoys.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,Sigil - a stag. - A crowned stag now that Robert's King.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Words - ""Ours is the fury"". Lords - the Baratheons."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,The Westerlands - sigil - a lion.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Words - ""A Lannister always pays his debts."""
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,Lords - the Lannisters.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,I don't know them.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Unbowed, unbent, unbroken""."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Righteous in wrath""."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Family, duty, honor""."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"Family, duty, honor""... Is that the right order?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,Family comes first?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,"How can she protect the family, if she's not with her family?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bran stark,And then she left!
