Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bronn,You can have my room.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bronn,Your first? You need a woman. Nothing like a woman after a fight.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bronn,Give me 10 good men and some climbing spikes... I'll impregnate the bitch.
2011-05-22,Season 1,Episode 6,A Golden Crown,bronn,I'll stand for the dwarf.
2011-05-22,Season 1,Episode 6,A Golden Crown,bronn,No. He did.
2011-06-05,Season 1,Episode 8,The Pointy End,bronn,You wouldn't know him.
2011-06-12,Season 1,Episode 9,Baelor,bronn,l took her.
2011-06-12,Season 1,Episode 9,Baelor,bronn,"From, uh, Ser What's-his-name? l don't know. Ginger cunt, three tents down."
2011-06-12,Season 1,Episode 9,Baelor,bronn,He said something.
2011-06-12,Season 1,Episode 9,Baelor,bronn,"Oh, well. l, uh, think l'll go and find myself one."
2011-06-12,Season 1,Episode 9,Baelor,bronn,Drink.
2011-06-12,Season 1,Episode 9,Baelor,bronn,There's a Braavosi knife game l could teach you.
2011-06-12,Season 1,Episode 9,Baelor,bronn,Not if you win.
2011-06-12,Season 1,Episode 9,Baelor,bronn,This sounds like a boring game.
2011-06-12,Season 1,Episode 9,Baelor,bronn,But my mother hit harder.
2011-06-12,Season 1,Episode 9,Baelor,bronn,lt was a woman. She swung an axe at me.
2011-06-12,Season 1,Episode 9,Baelor,bronn,Work.
2011-06-12,Season 1,Episode 9,Baelor,bronn,The whole shit-stained world could drink off that one.
2011-06-12,Season 1,Episode 9,Baelor,bronn,Our lord here used to be married.
2011-06-12,Season 1,Episode 9,Baelor,bronn,You hear lots of things playing dice with Lannister soldiers.
2011-06-12,Season 1,Episode 9,Baelor,bronn,l'm guessing the lady and l can tell more unpleasant stories than your lordship.
2011-06-12,Season 1,Episode 9,Baelor,bronn,"For three chickens, l should hope so."
2011-06-12,Season 1,Episode 9,Baelor,bronn,"Well, l imagine that was the end of all that."
2011-06-12,Season 1,Episode 9,Baelor,bronn,l would have killed the man who did that to me.
2011-06-12,Season 1,Episode 9,Baelor,bronn,You're sleeping through the war.
2011-06-12,Season 1,Episode 9,Baelor,bronn,They stole a night's march on us. They're a mile north.
2011-06-12,Season 1,Episode 9,Baelor,bronn,You don't have a squire.
2011-06-12,Season 1,Episode 9,Baelor,bronn,Stay low.
2011-06-12,Season 1,Episode 9,Baelor,bronn,"lf you're lucky, no one will notice you."
2011-06-12,Season 1,Episode 9,Baelor,bronn,You're a shit warrior.
2011-06-12,Season 1,Episode 9,Baelor,bronn,You're alive.
2011-06-12,Season 1,Episode 9,Baelor,bronn,We wouldn't be having this conversation if we didn't.
2011-06-12,Season 1,Episode 9,Baelor,bronn,"Yeah, good."
2012-04-01,Season 2,Episode 1,The North Remembers,bronn,Can't imagine why.
2012-04-08,Season 2,Episode 2,The Night Lands,bronn,"The lads will escort you. The streets aren't safe at night, my lord."
2012-04-08,Season 2,Episode 2,The Night Lands,bronn,Boys?
2012-04-08,Season 2,Episode 2,The Night Lands,bronn,Without question? No. I'd ask how much.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,bronn,"Oh, aye. And he has company. Filthy old stoat. Almost hate to interrupt."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,bronn,"No, I don't."
