Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love."
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned."
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"In any case, candles."
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!"
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How many times have I told you
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I want you to promise me
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,D'you know what?
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Where's Arya? Sansa, where's your sister?"
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Your Grace.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,My queen.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Then he is the stupidest prince that ever lived.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Hush now. Your father hasn't even said yes.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Sansa…
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Is this your first time in the North, Your Grace?"
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time."
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I hear the same.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I won't let him take you.
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I'll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.'"
