Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait."
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Where is our brother? Go find the little beast.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Yes. Lovely country.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"Hello, little dove. But you are a beauty. How old are you?"
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You're tall. Still growing?
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,And have you bled yet?
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,And your dress. Did you make it?
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Such talent. You must make something for me.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,I hear we might share a grandchild someday.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Your daughter will do well in the capital. Such a beauty shouldn't stay hidden up here forever.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Stop. STOP.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,He saw us.
2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,He saw us!
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,What do you mean?
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,"It's no mercy, letting a child linger in such pain."
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,I still can't believe you're going. It's ridiculous even for you.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,The children don't need to hear your filth. Come.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Please.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,"This is your home. I'm your guest. Handsome one, isn't he? I lost my first boy, a little black-haired beauty. He was a fighter too... Tried to beat the fever that took him. Forgive me. It's the last thing you need to hear right now."
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,"It was years ago. Robert was crazed, beat his hands bloody on the wall, all the things men do to show you how much they care... The boy looked just like him. Such a little thing... A bird without feathers. They came to take his body away and Robert held me. I screamed and I battled, but he held me. That little bundle. They took him away and I never saw him again. Never have visited the crypt, never. I pray to the Mother every morning and night that she return your child to you."
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Perhaps this time she'll listen.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,How dare you speak to your King in that manner?
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Your girl and that butcher's boy attacked my son. That animal of hers nearly tore his arm off.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Joffrey told us what happened. You and that boy beat him with clubs while you set your wolf on him.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,"She's not. Sansa, come here, darling."
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,She's as wild as that animal of hers. I want her punished.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Joffrey will bear these scars for the rest of his life.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,And what of the direwolf? What of the beast that savaged your son?
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,We have another wolf.
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Where is the beast?
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,"Ser Ilyn, do me the honor."
2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Is this some trick?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"Please, it's nearly healed."
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"A King should have scars, you fought off a direwolf. You're a warrior like your father."
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"That's not true. You killed the beast. You only spared the girl because of the love your father bears her father. When Aerys Targaryen sat on the Iron Throne, your father was a rebel and a traitor. Someday you'll sit on the throne and the truth will be what you make it."
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"Yes. She's very beautiful and young. If you don't like her, you only need to see her on formal occasions and when the time comes, to make little princes and princesses. And if you'd rather fuck painted whores, you'll fuck painted whores. And if you'd rather lie with noble virgins, so be it. You are my darling boy and the world will be exactly as you want it to be. Do something nice for the Stark girl."
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"No, but you will. The occasional kindness will spare you all sorts of trouble down the road."
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,How would you handle them?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,A royal army?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,And if the northerners rebel?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"And these 10,000 northern troops, would they fight for you or their lord?"
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"But you've just invaded their homeland, asked them to kill their brothers."
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"The North cannot be held... not by an outsider. It's too big and too wild. When the winter comes, the Seven gods together couldn't save you and your royal army. A good King knows when to save his strength... And when to destroy his enemies."
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,Everyone who isn't us is an enemy.
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,How could you be so stupid?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,He's a child... 10 years old. What were you thinking?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,Nothing. He's said nothing. He remembers nothing.
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,What if it comes back to him? If he tells his father what he saw...
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,And my husband?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,Let me go.
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,And if you find the proof?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,You're missing your tournament.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,I thought we might put what happened on the Kingsroad behind us – the ugliness with the wolves. And forcing you to kill the beast was extreme. Though sometimes we go to extremes where our children are concerned. How is Sansa?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,"The only Stark who does. Favors her mother, not much of the north in her."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,I might ask the same of you. What is it you hope to accomplish?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,"You can't change him. You can't help him. He'll do what he wants, which is all he's ever done. You'll try your best to pick up the pieces."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,"You're just a soldier, aren't you? You take your orders and you carry on. I suppose it makes sense. Your older brother was trained to lead and you were trained to follow."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,As was I.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,I'm sorry your marriage to Ned Stark didn't work out. You seemed so good together.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,"Without a Hand, everything will fall to pieces."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,No. He's not serious enough. I'll say this for Ned Stark - he's serious enough. Was it really worth it? Losing him this way?
