Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"People make all sorts of plans. I haven't seen Benjen Stark in three years. Haven't missed him. Always treated me like scum. . Haven't had any good wine for a long time. You Southerners make good wine, I'll give you that."
2012-04-01,Season 2,Episode 1,The North Remembers,craster,Who's this little girl? You're prettier than half my daughters. You got a nice wet twat between your legs? What's your name?
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"Snow, eh? Listen to me, bastard. All you lot from south of the Wall, you're Southerners. But now you're in the North, the real North."
2012-04-01,Season 2,Episode 1,The North Remembers,craster,I catch that pretty little bastard talking to my daughters -
2012-04-01,Season 2,Episode 1,The North Remembers,craster,You bring any of that good wine with you?
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"I could tell you, but I'm thirsty."
2012-04-01,Season 2,Episode 1,The North Remembers,craster,You want to know where they've all gone? North! To join up with Mance Rayder Your old friend.
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"Oh, aye. But once he was just a poor black crow. And now he's King-Beyond-the-Wall."
2012-04-01,Season 2,Episode 1,The North Remembers,craster,That's a good-looking axe. Fresh forged?
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"Oh, that's some lovely steel. . You want to know what Mance Rayder is doing? Gathering an army. What I hear, he's already got more men than any of your southern kings."
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"When you're all the way north, there's only one direction to go."
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"Let them come. My roots are sunk deep. Wife, tell the Lord Crow how content we are."
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"Don't it make you jealous, old man, to see me with all these young wives and you with no one to warm your bed?"
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"Oh, aye, and you chose the path with no one but boys on it. . You'll be wanting to sleep beneath my roof, I suppose, and eat me out of pigs."
2012-04-01,Season 2,Episode 1,The North Remembers,craster,"Any man lays a hand on one of my wives, he loses the hand. And I see this one, , staring too long, I might just gouge his eyes out."
2012-04-08,Season 2,Episode 2,The Night Lands,craster,"Any man lays a hand on one of my wives, he loses the hand."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,craster,"Out, all of you."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,craster,This bastardo s been meddling where he shouldn't!
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,craster,I want you and your men gone. And you will make this right.
2013-04-14,Season 3,Episode 3,Walk of Punishment,craster,What have we here? Frozen crows?
2013-04-14,Season 3,Episode 3,Walk of Punishment,craster,Smaller flock than you went north with.
2013-04-14,Season 3,Episode 3,Walk of Punishment,craster,"Oh, can we?"
2013-04-14,Season 3,Episode 3,Walk of Punishment,craster,Keep your eyes where they belong. They're not for you.
2013-04-14,Season 3,Episode 3,Walk of Punishment,craster,"Aye, pig's got value to me. You should all be kissing my feet for letting you in. I'd have turned you all away if I wasn't a godly man."
2013-04-14,Season 3,Episode 3,Walk of Punishment,craster,"I am. I got no fear of what's out there. When the white cold comes, your swords and cloaks and bloody fires won't help you. The only ones left will be those who are right with the gods. The real gods."
2013-04-14,Season 3,Episode 3,Walk of Punishment,craster,"Go tell her she can bite down on a rag or she can bite down on my fist. Women. That sow right there gave birth to a litter of eight. Barely a grunt. And she's almost as fat as this one here. Now why don't you dine on him? Carve off what you need as you go. Well, look at him. He's a walking feast."
