Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,No.
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't want to be his queen. I want to go home.
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't know.
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,"Thank you, ser. Are you from my country?"
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,"Thank you, Magister."
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,"She's beautiful. … Ser Jorah, I don't know how to say ‘thank you' in Dothraki."
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,Do you know the Common Tongue?
2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,Is ‘no' the only word that you know?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,Isn't there anything else?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,Have you ever seen a dragon?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,Everywhere? Even in the east?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,The moon?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,Leave me with her. Why did the trader from Garth tell you these stories?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,How old were you?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,Nine?!
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,Can you teach me how to make the Khal happy?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,Will it take three years?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,Finish a man?
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,"Well, she sounds like an interesting woman. I don't think that Drogo will like it with me on top."
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,I don't think that this is the Dothraki way.
2011-04-24,Season 1,Episode 2,The Kingsroad,daenerys targaryen,No. No. Tonight I would look upon your face.
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,From whom?
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,Tell them all to stop.
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,Until I command them otherwise.
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,Not a Queen. A Khaleesi.
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,No!
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,"Please please, don't hurt him. Tell him I don't want my brother harmed."
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,What are you doing?
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,It's a boy.
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,I know.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,These are my people now. You shouldn't call them savages.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,"If my brother was given an army of Dothraki, could you conquer the Seven Kingdoms?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,But if they did?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,And you know these men?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,You sold slaves.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,Why?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,And where is she now?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,"Hush now. It's all right. Irri, take her and leave us."
