Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Get the lads to saddle their horses.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He swore an oath, Cat."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Tell Bran he's coming, too."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He won't be a boy forever. And winter is coming.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"In the name of Robert of the House Baratheon, first of his name …"
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,King of the Andals and the First Men …
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You have five northern children. You're not an outsider.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's your gods with all the rules.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your sister. The boy …
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He's coming this far North, there's only one thing he's after."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]"
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your Grace.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,My queen.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me about Jon Arryn.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,We both did.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Aye.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I'm not worthy of the honor.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,She was my sister. This is where she belongs.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"It's done, Your Grace. The Targaryens are gone."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The boy I beheaded. Did you know him?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He was talking madness. Said the Walkers slaughtered his friends.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A wildling ambush.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Winter is coming.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your pardon.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Yes, the king has honored me with his offer."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I don't fight in tournaments.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I don't fight in tournaments because when I fight a man for real, I don't want him to know what I can do."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm a Northman. I belong here with you, not down south in that rat's nest they call a capital."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The king takes what he wants. That's why he's king.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,How did he get so fat?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Send him in.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Stay.
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,What news?
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"She's fresh widowed, Cat. She doesn't know what she's saying."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"No, but I'm still better than you."
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I hope I'll serve you well.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,I have no choice.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,You can. You must.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,"There's great honor serving in the Night's Watch. The Starks have manned the Wall for thousands of years. And you are a Stark. You might not have my name, but you have my blood."
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,"The next time we see each other, we'll talk about your mother. I promise."
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,I've half a mind to go with you.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,You should have asked me 20 years ago.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,I recall a few chances.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,Bessie. She was one of yours.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,Wylla.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,Nor will I.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,The worst thing about your coronation... I'll never get to hit you again.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,Daenerys Targaryen has wed some Dothraki horselord. What of it? Should we send her a wedding gift?
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,She's little more than a child.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,Tell me we're not speaking of this.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,"But you can't get your hands on this one, can you?"
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,"Even a million Dothraki are no threat to the realm, as long as they remain on the other side of the Narrow Sea. They have no ships, Robert."
