Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-01,Season 2,Episode 1,The North Remembers,gilly,This is our place. Our husband keeps us safe. Better to live free than die a slave.
2012-04-08,Season 2,Episode 2,The Night Lands,gilly,You shouldn't touch me.
2012-04-08,Season 2,Episode 2,The Night Lands,gilly,You're very brave.
2012-04-08,Season 2,Episode 2,The Night Lands,gilly,Sam said you could help.
2012-04-08,Season 2,Episode 2,The Night Lands,gilly,"Please sir, please. I can still run if I have to."
2012-04-08,Season 2,Episode 2,The Night Lands,gilly,"I'm going to have a baby, if it's a boy I…"
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,gilly,You're leaving.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,gilly,I can't take it.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,gilly,"You, you shouldn't give it away."
2013-04-14,Season 3,Episode 3,Walk of Punishment,gilly,What is it? What is it?
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,"Shh, shh, shh."
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,You woke him.
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,Shh!
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,No.
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,Why?
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,Here.
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,You said to hold it for you until you came back. You're back.
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,I don't want your stupid thimble. I want to save my baby's life. Can you do that? Can you?
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,gilly,I don't have time for you. I don't have time for anyone but him because he doesn't have much time.
2013-05-05,Season 3,Episode 6,The Climb,gilly,You've got too much wood in there.
2013-05-05,Season 3,Episode 6,The Climb,gilly,It needs to breathe. Take off that big log.
2013-05-05,Season 3,Episode 6,The Climb,gilly,Someone built your fires for you growing up?
2013-05-05,Season 3,Episode 6,The Climb,gilly,I knew you were highborn.
2013-05-05,Season 3,Episode 6,The Climb,gilly,What does it do?
2013-05-05,Season 3,Episode 6,The Climb,gilly,How much longer?
2013-05-05,Season 3,Episode 6,The Climb,gilly,Is the Wall as big as they say?
