Release Date,Season,Episode,Episode Title,Name,Sentence
2013-04-28,Season 3,Episode 5,Kissed by Fire,grey worm,This one has the honor.
2013-04-28,Season 3,Episode 5,Kissed by Fire,grey worm,Grey Worm.
2013-04-28,Season 3,Episode 5,Kissed by Fire,grey worm,"Grey Worm"" gives me pride. It is a very lucky name. The name this one was born with was cursed. That was the name he had when he was taken as a slave. But Grey Worm is the name this one had the day Daenerys Stormborn set him free."
2013-05-19,Season 3,Episode 8,Second Sons,grey worm,"My Queen, shall I slice out his tongue for you?"
2013-06-02,Season 3,Episode 9,The Rains of Castamere,grey worm,I trust him.
2014-04-06,Season 4,Episode 1,Two Swords,grey worm,"You are not a smart man, Daario Naharis."
2014-04-20,Season 4,Episode 3,Breaker of Chains,grey worm,"Allow me this honor, mother of dragons. I will not disappoint you."
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,"My name is Grey Worm. I come from the Summer ""Ills."""
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,Summer Isles.
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,When they took you?
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,You remember your home?
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,"Unsullied. Always Unsullied. Before Unsullied, nothing."
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,I don't want return.
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,Kill the masters.
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,"Missandei is teacher good, my queen."
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,All men must die.
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,"But I promise you, a single day of freedom is worth more than a lifetime in chains."
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,"This one is called Grey Worm. I was taken as a baby by the Masters of Astapor, raised and trained as Unsullied. Now I fight for Daenerys, the Mother of Dragons and Breaker of Chains."
2014-04-27,Season 4,Episode 4,Oathkeeper,grey worm,"There are three slaves in this city for every Master. No one can give you your freedom, brothers. If you want it, you must take it."
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,grey worm,Missandei. *in Valyrian* I have come to apologize.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,grey worm,in Valyrian* I hope I didn't frighten you.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,grey worm,"The lessons you give I in Common tongue, these are precious to I."
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,grey worm,To me.
