Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,hodor,Hodor.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,hodor,Hodor.
2012-05-13,Season 2,Episode 7,A Man Without Honor,hodor,Hodor.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",hodor,Hodor.
2013-05-05,Season 3,Episode 6,The Climb,hodor,Hodor.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,hodor,Hodor.
2013-06-02,Season 3,Episode 9,The Rains of Castamere,hodor,Hodor!
2013-06-02,Season 3,Episode 9,The Rains of Castamere,hodor,Hodor.
2013-06-09,Season 3,Episode 10,Mhysa,hodor,Hodor. Hodor.
2013-06-09,Season 3,Episode 10,Mhysa,hodor,Hodor.
2014-04-13,Season 4,Episode 2,The Lion and the Rose,hodor,Hodor.
2014-04-27,Season 4,Episode 4,Oathkeeper,hodor,Hodor.
2014-04-27,Season 4,Episode 4,Oathkeeper,hodor,Hodor. Hodor. Hodor.
2014-05-04,Season 4,Episode 5,First of His Name,hodor,Hodor. Hodor. Hodor.
2014-05-04,Season 4,Episode 5,First of His Name,hodor,Hodor. Hodor.
2014-05-04,Season 4,Episode 5,First of His Name,hodor,Hodor.
2014-05-04,Season 4,Episode 5,First of His Name,hodor,Hodor! Hodor! Hodor. Hodor.
2014-05-04,Season 4,Episode 5,First of His Name,hodor,Hodor. Hodor. Hodor. Hodor. Hodor.
2014-06-15,Season 4,Episode 10,The Children,hodor,Hodor...
2016-05-01,Season 6,Episode 2,Home,hodor,Hodor
2016-05-22,Season 6,Episode 5,The Door,hodor,Hodor.
2016-05-22,Season 6,Episode 5,The Door,hodor,Hodor. Hodor.
2016-05-22,Season 6,Episode 5,The Door,hodor,Hodor. Hodor. Hodor. Hodor.
