Release Date,Season,Episode,Episode Title,Name,Sentence
2011-06-19,Season 1,Episode 10,Fire and Blood,hot pie,"Watch yourself, midget."
2011-06-19,Season 1,Episode 10,Fire and Blood,hot pie,What's a gutter rat like you doing with a sword?
2011-06-19,Season 1,Episode 10,Fire and Blood,hot pie,He ain't no squire. Look at him. He looks like a girl. l bet he stole that sword.
2011-06-19,Season 1,Episode 10,Fire and Blood,hot pie,l could use me a sword like that.
2011-06-19,Season 1,Episode 10,Fire and Blood,hot pie,"Give it here, midget."
2011-06-19,Season 1,Episode 10,Fire and Blood,hot pie,l knocked him down and l kicked him in the balls and l kept kicking him until he was dead. l kicked him all to pieces. You better give me that sword!
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,I'm not afraid of no battles.
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,I've seen lots of battles. I saw -
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,I saw a man kill another man just outside a tavern in Flea Bottom. Stabbed him right in the neck.
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,They had armor on.
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,"So, if they got armor on, it's a battle."
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,What's a dyer's apprentice know about battles anyway?
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,It's when they've got armor on.
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,A knight?
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,"Well, cause he got armor on."
2012-04-08,Season 2,Episode 2,The Night Lands,hot pie,How'd you know?
2012-04-22,Season 2,Episode 4,Garden of Bones,hot pie,What kind of fire melts stone?
2012-04-22,Season 2,Episode 4,Garden of Bones,hot pie,There's dragons here?
2012-04-22,Season 2,Episode 4,Garden of Bones,hot pie,What's that smell?
2012-04-22,Season 2,Episode 4,Garden of Bones,hot pie,"That's him, the one who picks."
2012-04-22,Season 2,Episode 4,Garden of Bones,hot pie,He told me he stares at him every day. That's why he doesn't get picked.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,"You need sour cherries to make it right. And the secret is you dry the stones, and then you break them with a mallet. That's where the real flavor is. You crush 'em up real fine. And then when you're finished, you sprinkle them over the piecrust."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,How would I know?
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,I saw him.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,Ow!
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,They went riding out the gates a few hours ago.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,On patrol. Let go of my ears.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,What do you want with him anyway?
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,The sour cherries was all crushed up and ready.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,"Probably in the piecrust by now. In the oven. The nice, warm oven."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,hot pie,The cheese could be better. I did get some nice sausages.
