Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you"
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Don't get up.
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,I hear we might be neighbors soon. I hope it's true.
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I'm sure we'll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale."
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,No? Getting a little old for it?
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Well said.
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Are you completely mad?
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,It's all right. It's all right.
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I heard you the first time. Quite the little climber, aren't you? How old are you, boy?"
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Ten.
2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,The things I do for love.
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,Little brother.
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,Tell me you're not thinking of taking the black.
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,"Even if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day."
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,"My dear brother, there are times you make me wonder whose side you're on."
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,A sword for the wall?
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,Good man. Have you swung it yet?
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,"At someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us."
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,"Is it ""we"" already? Have you taken your vows then?"
2011-04-24,Season 1,Episode 2,The Kingsroad,jaime lannister,"Give my regards to the Night's Watch. I'm sure it will be thrilling to serve in such an elite force. And if not, It's only for life."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"Thank the gods you're here, Stark. About time we had some stern northern leadership."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"Sturdy old thing. How many kings' asses have polished it, I wonder? What's the line? The King shits and the Hand wipes."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"I know. People have been swinging at me for years, but they always seem to miss."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"I have a knack for it. It must be strange for you coming into this room. I was standing right here when it happened. He was very brave, your brother. Your father too. They didn't deserve to die like that. Nobody deserves to die like that."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"500 men just stood there and watched. All the great knights of the Seven Kingdoms. You think anyone said a word, lifted a finger? No, Lord Stark. 500 men and this room was silent as a crypt. Except for the screams, of course, and the Mad King laughing. And later... When I watched the Mad King die, I remembered him laughing as your father burned... It felt like justice."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"Tell me... If I'd stabbed the Mad King in the belly instead of the back, would you admire me more?"
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,Calm down.
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,I was thinking of us. You're a bit late to start complaining about it now. What has the boy told them?
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,Then what are you raving about?
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,We'll say he was lying. We'll say he was dreaming. We'll say whatever we like. I think we can outfox a 10-year-old.
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,I'll go to war with him if I have to. They can write a ballad about us
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,Never.
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"The boy won't talk. And if he does, I'll kill him. Him, Ned Stark, the King... the whole bloody lot of them, until you and I are the only people left in this world."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,One of the outlaws in the Brotherhood.
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,You killed Simon Toyne with a counter riposte. Best move I ever saw.
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"I cut his head off, so no."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"He said the same thing he'd been saying for hours... ""Burn them all."" If that's all, your Grace..."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,Listen. Do you hear them? How many do you think are in there with him? Guess.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,He likes to do this when I'm on duty... He makes me listen as he insults my sister.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,Why do I have to forgive you? Have you wronged me?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,"Have we? Strange, I've forgotten."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,That's where you got your scar?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,Vicious sons of whores.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,They stopped liking it at the end. That was a proper battle. D'you remember Thoros of Myr charging through the breach?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,I saw the youngest of the Greyjoy lads at Winterfell. It was like seeing a shark on a mountaintop.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,I doubt it.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jaime lannister,I don't serve Lord Stark.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,Such a small pack of wolves.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,Was!... the Hand of the King. Now I'm not sure what he is... Lord of somewhere very far away.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"Get back inside where it's safe. I'm looking for my brother. You remember my brother, don't you, Lord Stark? Blond hair, sharp tongue, short man."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"It seems he had some trouble on the road. You wouldn't know what happened to him, would you?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"Come, Stark. I'd rather you die sword in hand."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"Threaten? As in, ""I'm going to open your Lord from balls to brains and see what Starks are made of”?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,You're right. Take him alive! Kill his men!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"My brother, Lord Stark... We want him back."
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,"Summoned to court to answer for the crimes of your bannerman Gregor Clegane, the Mountain"
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,Catelyn Stark took my brother.
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,Tyrion?
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,"One of our men interfered, speared him through the leg before I could finish him."
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,It wouldn't have been clean.
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,I could care less what anyone thinks of me.
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,It's the truth.
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,Of course it bothers me.
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,I didn't realize you placed such a high value on my brother's life.
2011-05-29,Season 1,Episode 7,You Win or You Die,jaime lannister,So the lion does concern himself with the opinions of..
2011-06-05,Season 1,Episode 8,The Pointy End,jaime lannister,He's been covering himself in glory.
2011-06-12,Season 1,Episode 9,Baelor,jaime lannister,"Lady Stark. l'd offer you my sword, but l seem to have lost it."
2011-06-12,Season 1,Episode 9,Baelor,jaime lannister,"l've lost them too, l'm afraid."
2011-06-12,Season 1,Episode 9,Baelor,jaime lannister,"We could end this war right now, boy, save thousands of lives. You fight for the Starks, l fight for the Lannisters. Swords or lances, teeth, nails - choose your weapons and let's end this here and now."
2011-06-19,Season 1,Episode 10,Fire and Blood,jaime lannister,"You look lovely tonight, Lady Stark. Widowhood becomes you. Your bed must be lonely. ls that why you came? l'm not at my best, but l think l could be of service. You slip out of that gown and we'll see if l'm up to it. Oh, l do like a violent woman."
