Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",janos slynt,"It's the Hando s tournament that's causing all this trouble, my Lords."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",janos slynt,"Call it what you will, Lord Stark Ser, the city is packed with people and more flooding in every day. Last night we had a tavern riot, a brothel fire, three stabbings and a drunken horse race down the Street of Sisters."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",janos slynt,I need more men.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",janos slynt,"Thank you, my Lord Hand Ser. They will be put to good use."
2011-05-29,Season 1,Episode 7,You Win or You Die,janos slynt,Men of the Watch!
2014-04-06,Season 4,Episode 1,Two Swords,janos slynt,A bastard son of a traitor. What would you expect?
2014-04-06,Season 4,Episode 1,Two Swords,janos slynt,The free folk? Listen to him. He even talks like a wildling now.
2014-04-06,Season 4,Episode 1,Two Swords,janos slynt,"You admit to breaking your vows, then?"
2014-04-06,Season 4,Episode 1,Two Swords,janos slynt,The law is the law. The boy must die.
2014-04-06,Season 4,Episode 1,Two Swords,janos slynt,Giants?
2014-04-06,Season 4,Episode 1,Two Swords,janos slynt,How dare you?!
2014-04-20,Season 4,Episode 3,Breaker of Chains,janos slynt,Going to visit your wildling whore?
2014-04-20,Season 4,Episode 3,Breaker of Chains,janos slynt,No? Maybe I'll give her a copper tonight and find out.
2014-04-27,Season 4,Episode 4,Oathkeeper,janos slynt,The bastardo s well-liked.You're not.
2014-04-27,Season 4,Episode 4,Oathkeeper,janos slynt,For now. But you can't be acting commander forever. There will be a choosing. The old maester will insist on it. You might reconsider his request to marchon Craster's. Let the mutineer stake care of Snow. Or you might be taking orders from him the rest of your life.
2014-05-18,Season 4,Episode 7,Mockingbird,janos slynt,"I'm surprised you didn't ride over and say hello. The King-beyond-the-Wall is your old friend, isn't he?"
