Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,I don't need him to be charming. I need him to turn this bunch of thieves and runaways into men of the Night's Watch.
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Slowly. A raven came for Ned Stark's son.
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Both.
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,"We've been capturing wildlings, more every month. They're fleeing south. The ones who flee... say they've seen the White Walkers."
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,One of our own rangers swore he saw them kill his companions. He swore it right up to the moment Ned Stark chopped his head off.
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Your sister sits by the side of the King. Tell her we need help.
2011-05-29,Season 1,Episode 7,You Win or You Die,jeor mormont,Here you begin anew.
2011-05-29,Season 1,Episode 7,You Win or You Die,jeor mormont,You'll want to take your vow before a heart tree as your Uncle did.
2011-05-29,Season 1,Episode 7,You Win or You Die,jeor mormont,"You'll find a Weirwood a mile North of the Wall. And your old Gods too, maybe."
2011-05-29,Season 1,Episode 7,You Win or You Die,jeor mormont,Does house Tarly keep the old Gods?
2011-05-29,Season 1,Episode 7,You Win or You Die,jeor mormont,"As you wish, lad."
2011-06-05,Season 1,Episode 8,The Pointy End,jeor mormont,"It's Othor, without a doubt."
2011-06-05,Season 1,Episode 8,The Pointy End,jeor mormont,Any sign of Benjen or the rest of his party?
2011-06-05,Season 1,Episode 8,The Pointy End,jeor mormont,Mmm.
2011-06-05,Season 1,Episode 8,The Pointy End,jeor mormont,I want Maester Aemon to examine them first.
2011-06-05,Season 1,Episode 8,The Pointy End,jeor mormont,"Bring me a horn of ale, Snow, and pour one for yourself."
2011-06-05,Season 1,Episode 8,The Pointy End,jeor mormont,Sit.
2011-06-05,Season 1,Episode 8,The Pointy End,jeor mormont,I hope you're not thinking of doing anything stupid.
2011-06-05,Season 1,Episode 8,The Pointy End,jeor mormont,I'm sure they'll be treated gently.
2011-06-12,Season 1,Episode 9,Baelor,jeor mormont,When does Aemon think you'll be able to use that hand?
2011-06-12,Season 1,Episode 9,Baelor,jeor mormont,"Good. You'll be ready for this, then. l thought a wolf was more appropriate for you than a bear so l had a new pommel made. lt's called Longclaw. Works as well for a wolf as a bear, l think."
2011-06-12,Season 1,Episode 9,Baelor,jeor mormont,"lt was my father's sword, his father before him. The Mormonts have carried it for five centuries. lt was meant for my son Jorah. He brought dishonor to our House, but he had the grace to leave the sword before he fled from Westeros."
2011-06-12,Season 1,Episode 9,Baelor,jeor mormont,"Oh, you can. And you will. l wouldn't be standing here if it wasn't for you and your beast. A bloody dead man tried to kill me, so you'll take it. l'll hear no more about it. ls that understood?"
2011-06-12,Season 1,Episode 9,Baelor,jeor mormont,"Right. Now, don't think this means l approve of this nonsense with you and Alliser Thorne. That's a man's sword. lt'll take a man to wield it."
2011-06-12,Season 1,Episode 9,Baelor,jeor mormont,"No, you won't. l sent him to King's Landing yesterday. The hand that your wolf tore off that thing's wrist – l've ordered Thorne to lay it at the feet of this boy king. That should get young Joffrey's attention. And it, uh, puts a thousand leagues between you and Thorne. Now go and put your sword somewhere safe and bring me my supper."
2011-06-19,Season 1,Episode 10,Fire and Blood,jeor mormont,Ham. How many days in a row must a man be expected to start his day with ham? Bring me some beer at least. You look exhausted. Was your moonlight ride that tiring?
2011-06-19,Season 1,Episode 10,Fire and Blood,jeor mormont,l didn't say it was your honor.
2011-06-19,Season 1,Episode 10,Fire and Blood,jeor mormont,"And you're gonna bring him back to life, are you? No? Good. We've had enough of that sort of thing. Beyond the Wall, the Rangers are reporting whole villages abandoned. At night they see fires blazing in the mountains from dusk until dawn. A captured wildling swears their tribes are uniting in some secret stronghold, to what ends the gods only know. Outside Eastwatch Cotter Pyke's men discovered four blue-eyed corpses. Unlike us, they were wise enough to burn them. Do you think your brother's war is more important than ours?"
2011-06-19,Season 1,Episode 10,Fire and Blood,jeor mormont,"When dead men and worse come hunting for us in the night, do you think it matters who sits on the lron Throne?"
2011-06-19,Season 1,Episode 10,Fire and Blood,jeor mormont,Good. Because l want you and your wolf with us when we ride out beyond the Wall tomorrow.
2011-06-19,Season 1,Episode 10,Fire and Blood,jeor mormont,"l'll not sit meekly by and wait for the snows. l mean to find out what's happening. The Night's Watch will ride in force against the wildlings, the White Walkers and whatever else is out there. And we will find Benjen Stark, alive or dead. l will command them myself. So l'll only ask you once, Lord Snow, are you a brother of the Night's Watch or a bastard boy who wants to play at war?"
