Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran."
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You did well.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What is it?
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Why's your mother so dead-set on us getting pretty for the king?
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Uncle Benjen!
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lady Stark thought it might insult the royal family to seat a bastard in their midst.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,So take me with you when you go back.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Father will let me if you ask him, I know he will."
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm ready to swear your oath.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I don't care about that.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What're you doing back there?
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You're Tyrion Lannister. The queen's brother?
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Eddard Stark is my father.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What the hell do you know about being a bastard?
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,I already have one.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,Of course I have.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,We've guarded the Kingdoms for 8 000 years.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,Soon enough.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,It's good you've got help.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,Impressive.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,I have something for you. And it has to be packed very carefully.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,Close the door. This is no toy. Be careful you don't cut yourself.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,"So are you. I had the blacksmith make it for you special. It won't hack a man's head off, but it can poke him full of holes if you're quick enough."
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,You'll have to work at it every day. How does it feel? Do you like the balance?
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,First lesson
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,"I'm going to miss you... Careful... All the best swords have names, you know."
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,I came to say goodbye to Bran.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,"I wish I could be here when you wake up. I'm going north with Uncle Benjen. I'm taking the black. I know we always talked about seeing the Wall together, but you'll be able to come visit me at Castle Black when you're better. I'll know my way around by then. I'll be a sworn brother of the Night's Watch. We can go out walking beyond the Wall, if you're not afraid."
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,You Starks are hard to kill.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,She was very kind.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,It was always my color.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,"And you, Stark."
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,"Is my mother alive? Does she know about me? Where I am, where I'm going? Does she care?"
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,Why do you read so much?
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,Is this a trick?
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,Until your brother killed that King.
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,"Ask me nicely and maybe I'll tell you, dwarf."
2011-04-24,Season 1,Episode 2,The Kingsroad,jon snow,The Night's Watch protects the realm from...
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,It's an improvement.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,Everybody knew what this place was and no one told me. No one but you. My father knew and left me to rot here at the Wall all the same.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,They hate me because I'm better than they are.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,You're leaving?
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,What kind of reports?
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,m ready. I won't let you down.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,But I'm better than every...
