Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,jorah mormont,A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.
2011-04-17,Season 1,Episode 1,Winter is Coming,jorah mormont,"Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king."
2011-04-17,Season 1,Episode 1,Winter is Coming,jorah mormont,There is no word for ‘thank you' in Dothraki.
2011-04-24,Season 1,Episode 2,The Kingsroad,jorah mormont,"You need to drink, child... And eat."
2011-04-24,Season 1,Episode 2,The Kingsroad,jorah mormont,The Dothraki have two things in abundance
2011-04-24,Season 1,Episode 2,The Kingsroad,jorah mormont,"We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there."
2011-04-24,Season 1,Episode 2,The Kingsroad,jorah mormont,"As you wish, your Grace."
2011-04-24,Season 1,Episode 2,The Kingsroad,jorah mormont,Selling to one... Some poachers I caught on my land.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,The Dothraki don't believe in money. Most of their slaves were given to them as gifts.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"If you rule a city and you see the horde approaching, you have two choices"
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,You want the entire horde to stop? For how long?
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,You're learning to talk like a Queen.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"Shall we return to the Khalasar, Khaleesi?"
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"For a man on horseback, the curved blade is a good thing, easier to handle. It's a good weapon for a Dothrakan. But a man in full plate... the arakh won't get through the steel. That's where the broadsword has the advantage. Designed for piercing plate."
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Armor.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Slow.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"It's true, but it also keeps a man alive."
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I've heard that your father was a famous warrior.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,He still is. A man of great honor. And I betrayed him.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I don't think she wants to eat dog.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I'll have the boys butcher a goat for supper. I need to ride to Qohor.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Don't worry. I'll catch you. The horde's easy to find.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,Vaes Dothrak. The city of the horselords.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,The Dothraki have never crossed the Narrow Sea. They fear any water their horses can't drink.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,"King Robert is fool enough to meet them in open battle, but the men advising him are different."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,"I fought beside them once, long ago. Now Ned Stark wants my head. He drove me from my land."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,Aye.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,I had no money and an expensive wife.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,"In another place, with another man."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,Your brother Rhaegar was the last dragon. Viserys is less than the shadow of a snake.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,The truth now
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,"The common people pray for rain, health and a summer that never ends. They don't care what games the high Lords play."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,Home.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,She's doing well.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,The prince is riding. I have heard the thunder of the hooves. Swift as the wind he rides. His enemies will cower before him… and their wives will weep tears of blood.”
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,She's going to have a boy.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,"The stallion who mounts the world.” The stallion, is the khal of khals. He shall unite the people into a single khalasar. All the people of the world will be his herd."
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,She truly is a queen today.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,Don't let them see you carrying a sword in Vaes Dothrak. You know the law.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,They don't belong to you.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,"Once, perhaps."
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,And you have all three.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,"You can go, but you can't have the eggs."
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,It means everything to me.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,And here I stand.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,Come.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,Khal Drogo says there is a place for you. Back there.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,Put the sword down. They'll kill us all.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,Look away Khaleesi.
2011-05-22,Season 1,Episode 6,A Golden Crown,jorah mormont,Khaleesi…
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,"The Dothraki do things in their own time, for their own reasons."
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,"Forgive me, Khaleesi, but your ancestor Aegon the Conqueror didn't seize six of the kingdoms because they were his right."
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,"Ah well, having a few dragons makes things easier."
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,"Have you ever seen a dragon, Khaleesi? I believe what my eyes and ears report."
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,"No no, don't trouble yourself. Enjoy the market. I'll rejoin you soon enough."
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,Rakharo.
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,I have a thirst. Open it.
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,Open it.
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,Pour.
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,You first.
2011-05-29,Season 1,Episode 7,You Win or You Die,jorah mormont,Come.
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,Khaleesi.
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,"He will die tonight, Khaleesi."
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,Even a queen doesn't have that power. We must go quickly. l've heard there's a good port in Asshai.
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,"He's already gone, Khaleesi."
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,"This isn't Westeros, where men honor blood. Here they only honor strength. There will be fighting after Drogo dies. Whoever wins that fight will be the new khal. He won't want any rivals. Your boy will be plucked from your breast and given to the dogs."
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,Rein in your tongue. She is still your Khaleesi.
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,l think you're right.
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,"No further, horselord."
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,Are you hurt?
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,Hmm?
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,Fetch the midwives.
2011-06-12,Season 1,Episode 9,Baelor,jorah mormont,They'll come or l'll have their heads.
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,"Gently, gently."
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,The boy did not live.
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,What is there to tell?
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,"He never lived, my princess. The women say –"
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,They say the child was –
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,Time enough for that later –
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,"A khal who cannot ride is no khal. The Dothraki follow only the strong. l'm sorry, my Princess."
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,"He seems to like the warmth, Princess."
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,l don't want you alone with this sorceress.
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,Drogo will have no use for dragon eggs in the Night Lands. Sell them. You can return to the Free Cities and live as a wealthy woman for all your days.
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,"Khaleesi, my Queen, l vow to serve you, obey you, to die for you if need be, but let him go, Khaleesi. l know what you intend. Do not."
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,Don't ask me to stand aside as you climb on that pyre. l won't watch you burn.
2011-06-19,Season 1,Episode 10,Fire and Blood,jorah mormont,Blood of my blood.
2012-04-01,Season 2,Episode 1,The North Remembers,jorah mormont,I remember.
2012-04-01,Season 2,Episode 1,The North Remembers,jorah mormont,"A trick I never learned, I'm afraid."
2012-04-01,Season 2,Episode 1,The North Remembers,jorah mormont,"This is further east than I've ever been. But, yes, Khaleesi, everything ends, even the red waste."
2012-04-01,Season 2,Episode 1,The North Remembers,jorah mormont,"If we go south to the land of the Lazarheen, the Lamb Men will kill us and take your dragons. If we go west to the Dothraki Sea, the first Khalasar we meet will kill us and take your dragons."
2012-04-01,Season 2,Episode 1,The North Remembers,jorah mormont,"They are too weak to fight, as are your people. You must be their strength."
2012-04-08,Season 2,Episode 2,The Night Lands,jorah mormont,"Everything ends, even the red waste."
2012-04-08,Season 2,Episode 2,The Night Lands,jorah mormont,Khaleesi.
2012-04-08,Season 2,Episode 2,The Night Lands,jorah mormont,You don't need to see this.
2012-04-08,Season 2,Episode 2,The Night Lands,jorah mormont,"Khal Pono perhaps, Khal Jhaqo They don't like the idea of a woman leading a Khalasaar."
2012-04-22,Season 2,Episode 4,Garden of Bones,jorah mormont,"Only that the desert around their walls is called the Garden of Bones. Every time the Qartheen shut their gates on a traveler, the garden grows."
2012-04-22,Season 2,Episode 4,Garden of Bones,jorah mormont,"If you heard a Dothraki horde was approaching your city, you might do the same, Khaleesi."
2012-04-22,Season 2,Episode 4,Garden of Bones,jorah mormont,"Khaleesi, please be careful."
