Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,"You bring him here without permission? You pollute my home with his presence? Your aunt has done a bad thing, Robin, a very bad thing. You remember her, don't you? Isn't he beautiful? And strong too. Jon knew it. His last words were, ""the seed is strong."" He wanted everyone to know what a good, strong boy his son would grow up to be. Look at him, the Lord of all the Vale."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,To stay away from them! Not to bring one here!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,It is.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,He's Tyrion the Imp of House Lannister. He killed your father. He murdered the Hand of the King!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,You will watch your tongue! These men are Knights of the Vale. Every one of the loved Jon Arryn. Every one of them would die for me.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,"Shh... Shh... Shh, my sweet boy. He's just trying to frighten us. Lannisters are all liars. No one will hurt my baby."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,"Perhaps you will, my little love."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,"Ser Vardis, my sister's guest is weary. Take him down below so he can rest. Introduce him to Mord."
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,You wish to confess your crimes?
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,"Skycells always break them. Speak, Imp. Meet your gods as an honest man."
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,Silence!
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,What do you think you're doing?
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,"You've had your little joke. I trust you enjoyed it. Mord, take him back to the dungeon. But this time find a smaller cell, with a steeper floor."
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,"If you're tried and found guilty, then by the king's own laws you will pay with your life."
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,We have no executioner in the Eyrie. Life is more elegant here. Open the Moon Door.
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,"You want a trial, my Lord Lannister. Very well. My son will listen to whatever you have to say, and you will hear his judgement. Then you will leave, by one door or the other."
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,You have that right.
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,Ser Vardis… You're quiet. Did you want to avenge my husband?
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,You demanded a trial by combat.
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,The Kingslayer is hundreds of miles from here.
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,The trial will be today.
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,I think that we can assume that no one is willing -
2011-05-22,Season 1,Episode 6,A Golden Crown,lysa arryn,You don't fight with honor!
2011-06-05,Season 1,Episode 8,The Pointy End,lysa arryn,"Hush now, darling. You just ate."
2011-06-05,Season 1,Episode 8,The Pointy End,lysa arryn,"Soon, love, soon."
2011-06-05,Season 1,Episode 8,The Pointy End,lysa arryn,"Go on, sweet. Time for your bath. I'll feed you after."
2011-06-05,Season 1,Episode 8,The Pointy End,lysa arryn,Of course I fear for the safety of my son!
2011-06-05,Season 1,Episode 8,The Pointy End,lysa arryn,"The knights of the Vale will stay in the Vale where they belong, to protect their Lord."
