Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,"How many winters have you seen, Lord Tyrion?"
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,All of them brief?
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,This summer has lasted nine. But reports from the Citadel tell us the days grow shorter. The Starks are always right eventually
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,The Night's Watch is the only thing standing between the realm and what lies beyond. And it has become an army of undisciplined boys and tired old men. There are less than a thousand of us now. We can't man the other castles on the Wall. We can't properly patrol the wilderness. We've barely enough resources to keep our lads armed and fed.
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,"When winter does come, gods help us all if we're not ready."
2011-05-29,Season 1,Episode 7,You Win or You Die,maester aemon,"Samwell, you will assist me in the rookery and library."
2011-05-29,Season 1,Episode 7,You Win or You Die,maester aemon,Certainly. And keep a fire burning in his chambers.
2011-05-29,Season 1,Episode 7,You Win or You Die,maester aemon,We took you for a man of The Night's Watch.
2011-05-29,Season 1,Episode 7,You Win or You Die,maester aemon,As you wish.
2011-06-12,Season 1,Episode 9,Baelor,maester aemon,"l did indeed. Perhaps you would be kind enough to assist me. Tell me, did you ever wonder why the men of the Night's Watch take no wives and father no children?"
2011-06-12,Season 1,Episode 9,Baelor,maester aemon,"So they will not love. Love is the death of duty. lf the day should ever come when your lord father was forced to choose between honor on the one hand and those he loves on the other, what would he do?"
2011-06-12,Season 1,Episode 9,Baelor,maester aemon,"Then Lord Stark is one man in 10,000. Most of us are not so strong. What is honor compared to a woman's love? And what is duty against the feel of a newborn son in your arms? Or a brother's smile?"
2011-06-12,Season 1,Episode 9,Baelor,maester aemon,"We're all human. Oh, we all do our duty when there's no cost to it. Honor comes easy then. Yet sooner or later in every man's life there comes a day when it is not easy. A day when he must choose."
2011-06-12,Season 1,Episode 9,Baelor,maester aemon,"Oh, it hurts, boy. Oh, yes. l know."
2011-06-12,Season 1,Episode 9,Baelor,maester aemon,The gods were cruel when they saw fit to test my vows. They waited till l was old. What could l do when the ravens brought the news from the South
2011-06-12,Season 1,Episode 9,Baelor,maester aemon,"My father was Maekar, the first of his name. My brother Aegon reigned after him when l had refused the throne. And he was followed by his son Aerys whom they called the Mad King."
2011-06-12,Season 1,Episode 9,Baelor,maester aemon,"l'm a maester of the Citadel, bound in service to Castle Black and the Night's Watch. l will not tell you to stay or go. You must make that choice yourself and live with it for the rest of your days. As l have."
2013-06-09,Season 3,Episode 10,Mhysa,maester aemon,"I'm not a lord, my dear. Not for many, many years. Every man who joins the Night's Watch renounces all former titles. Among other things. What is your name?"
2013-06-09,Season 3,Episode 10,Mhysa,maester aemon,"Ah, for the gillyflower. Lovely."
2013-06-09,Season 3,Episode 10,Mhysa,maester aemon,And the child?
2013-06-09,Season 3,Episode 10,Mhysa,maester aemon,Tarly do you remember the oath you swore when you joined this order?
2013-06-09,Season 3,Episode 10,Mhysa,maester aemon,"Gilly, you and your son will be our guests for the time being. We certainly cannot send you back beyond the Wall."
2013-06-09,Season 3,Episode 10,Mhysa,maester aemon,"Good. Samwell, fetch a quill and inkwell. I hope your penmanship is better than your swordplay."
2013-06-09,Season 3,Episode 10,Mhysa,maester aemon,We had forty-four ravens at last count. Make sure they're all fed. Every one of them flies tonight.
2014-04-06,Season 4,Episode 1,Two Swords,maester aemon,"If we beheaded every ranger who lay with a girl, the Wall would be manned by headless men."
2014-04-06,Season 4,Episode 1,Two Swords,maester aemon,"None of us are free. We are men of the Night's Watch. But we won't be taking your head today, Jon Snow. Go on."
2014-04-06,Season 4,Episode 1,Two Swords,maester aemon,"Yes, you are."
2014-04-06,Season 4,Episode 1,Two Swords,maester aemon,He told the truth.
2014-04-06,Season 4,Episode 1,Two Swords,maester aemon,I grew up in King's Landing.
2014-04-20,Season 4,Episode 3,Breaker of Chains,maester aemon,We have just over 100 men. And that's including stewards and builders. And me. We can't afford to lose a single man. We must remember our first responsibility. We are the watchers on the Wall.
