Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,Loras! Highgarden!
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,"Now, now, my love. My brother fought valiantly for you."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,"You are very welcome here, Lady Stark. I'm so sorry for your loss."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,As is your right. You are a king.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,"Thank you, Your Grace."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,"You think so? I can't decide how I like it better. This way, or this way."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,"Here, let me."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,Do you want my brother to come in and help?
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,He could get you started. I know he wouldn't mind. Or I can turn over and you can pretend I'm him.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,There's no need for us to play games. Save your lies for court. You're going to need a lot of them.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,"Your enemies aren't happy about us. They want to tear us apart. And the best way to stop them is to put your baby in my belly. We can try again later. You decide how you want to do it, with me, with me and Loras, however else you like."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,margaery tyrell,Whatever you need to do. You are a king.
2012-04-22,Season 2,Episode 4,Garden of Bones,margaery tyrell,Lord Baelish.
2012-04-22,Season 2,Episode 4,Garden of Bones,margaery tyrell,"It would be my pleasure. It took me weeks to learn my way around the camp. Twice I walked in on officers in stages of undress. And the moment I learn which tent is mine, we're on the move again."
2012-04-22,Season 2,Episode 4,Garden of Bones,margaery tyrell,"I am not tutored in warfare, but basic arithmetic favors the side with the greater numbers."
2012-04-22,Season 2,Episode 4,Garden of Bones,margaery tyrell,The place of a Kingsguard is by the king's side.
2012-04-22,Season 2,Episode 4,Garden of Bones,margaery tyrell,You seem quite interested in our marriage.
2012-04-22,Season 2,Episode 4,Garden of Bones,margaery tyrell,"You've never married, have you?"
2012-04-22,Season 2,Episode 4,Garden of Bones,margaery tyrell,"That is sad. Though perhaps it's for the best. The whole notion of marriage seems to confuse you, so allow me to explain. My husband is my king, and my king is my husband. Here is your tent, Lord Baelish. Good night."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,margaery tyrell,We need to go home. Loras.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,margaery tyrell,There's no time for this.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,margaery tyrell,Brienne of Tarth murdered Renly.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,margaery tyrell,You can't stay here.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,margaery tyrell,You can't avenge him from the grave. Bring the horses. Please.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,margaery tyrell,He was very handsome.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,margaery tyrell,"Your Grace."" Calling yourself king doesn't make you one. And if Renly wasn't a king, I wasn't a queen."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,margaery tyrell,No. I want to be the queen.
2012-06-03,Season 2,Episode 10,Valar Morghulis,margaery tyrell,"With all my heart, Your Grace. I have come to love you from afar. Tales of your courage and wisdom have never been far from my ears. And those tales have taken root deep inside of me."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,Why?
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,Pardon me.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,I have others.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,And your mother?
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"Bad men wanted to come into this city and do terrible things, but your father stopped them."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"Whenever you look at this knight, I want you to remember your father."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,And what do knights swear to do? Protect the weak and uphold the good. Your father did that. Be proud of him.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"Was your father a soldier, too?"
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"You should be proud, too. Under King Joffrey's leadership, your fathers saved the city. They saved us all. From now on, we're going to take care of you. All of you."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"Come to me for whatever you need to feed them, clothe them, or house them. Directly to me."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,Your Grace.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"The climate is a bit more forgiving back in Highgarden, Your Grace."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"I am touched by your concern, Your Grace. Luckily for us Tyrells, our blood runs quite warm. Doesn't it, Loras?"
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"Loras, isn't the queen's gown magnificent? The fabric, the embroidery, the metalwork. I've never seen anything like it."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,Yes. I paid a visit to an orphanage the High Septon told me about.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,The lowest among us are no different from the highest if you give them a chance and approach them with an open heart.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,margaery tyrell,"Hunger turns men into beasts. I'm glad House Tyrell has been able to help in this regard. They tell me 100 wagons arrive daily now from the Reach. Wheat, barley, apples. We've had a blessed harvest. And, of course, it's our duty to assist the capital in time of need."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",margaery tyrell,It's more your color. You take it.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",margaery tyrell,You're such a dear.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",margaery tyrell,"Come. Lady Sansa, it is my honor to present my grandmother the Lady Olenna of House Tyrell."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",margaery tyrell,"Renly was brave and gentle, Grandmother. Father liked him and so did Loras."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",margaery tyrell,Grandmother! What will Sansa think of us?
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",margaery tyrell,I'm to be his wife. I only want to know what that means.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",margaery tyrell,"She's terrified, Grandmother. Just look at her."
