Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,"Lord of Light, come to us in our darkness. We offer you these false Gods."
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,Take them and cast your light upon us. For the night is dark and full of terrors.
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,"After the long summer, darkness will fall heavy on the world. Stars will bleed."
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,The cold breath of winter will freeze the seas.
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,And the dead shall rise in the North.
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,"You smell of fear, fear and piss and old bones. Do you want to stop me? Stop me."
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,"In the ancient books, it's written that a warrior will draw a burning sword from the fire. And that sword shall be Lightbringer. Stannis Baratheon, warrior of light, your sword awaits you."
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,For the night is dark and full of terrors.
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,Stannis does not need to beg this lord or that lord for support. The Lord of Light stands behind him.
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,He has no need for ships.
2012-04-01,Season 2,Episode 1,The North Remembers,melisandre,"The night is dark and full of terrors, old man, but the fire burns them all away. Your Grace."
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,"The Lord of Light shines through you, young warrior."
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,I told him death by fire is the purest death.
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,Because it is true. You're troubled my king.
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,These armies are but toys for the Lord of Light.
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,I tell him nothing! I pray for his commands and I obey.
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,You must have faith.
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,Then we must be the ten.
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,"I have seen the path to victory in the flames. At first, you must give yourself to the Lord of Light."
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,You must give... all of yourself.
2012-04-08,Season 2,Episode 2,The Night Lands,melisandre,"She's sick. Weak. Shut away in the tower. And she disgusts you. And she's given you nothing. No sons. Only stillborns. Only death. . I will give you a son, my King."
2012-04-22,Season 2,Episode 4,Garden of Bones,melisandre,The king has taken for his sigil the fiery heart of the Lord of Light.
2012-04-22,Season 2,Episode 4,Garden of Bones,melisandre,"You should kneel before your brother. He's the Lordo s chosen, born amidst salt and smoke."
2012-04-22,Season 2,Episode 4,Garden of Bones,melisandre,"Look to your sins, Lord Renly. The night is dark and full of terrors."
2012-04-22,Season 2,Episode 4,Garden of Bones,melisandre,"Are you afraid, Onion Knight?"
2012-04-22,Season 2,Episode 4,Garden of Bones,melisandre,"You've carried more unpleasant cargo in your time. Are you a good man, Ser Davos Seaworth?"
