Release Date,Season,Episode,Episode Title,Name,Sentence
2011-06-05,Season 1,Episode 8,The Pointy End,meryn trant,"Arya Stark, come with us."
2011-06-05,Season 1,Episode 8,The Pointy End,meryn trant,"Mind your place, dancing master."
2011-06-05,Season 1,Episode 8,The Pointy End,meryn trant,Kill the Braavosi. Bring the girl.
2011-06-05,Season 1,Episode 8,The Pointy End,meryn trant,Bloody oafs.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,meryn trant,Ser Meryn Trant.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,meryn trant,You're no knight.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,meryn trant,"You're an up-jumped cutthroat, nothing more."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,meryn trant,"You put your hand on that door, you lose the hand."
2014-04-13,Season 4,Episode 2,The Lion and the Rose,meryn trant,Always. Find those boys and I'll give you a thousand acres and a holdfast.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,meryn trant,"Once we'd got King Joffrey safely away from the mob, the Imp rounded on him. He slapped the king across the face and called him a vicious idiot and a fool. It wasn't the first time the Imp threatened Joffrey. Right here in this throne room, he marched up those steps and called our king a halfwit. Compared His Grace to the Mad King and suggested he'd meet the same fate. And when I spoke in the king's defense, he threatened to have me killed."
