Release Date,Season,Episode,Episode Title,Name,Sentence
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,The wound has festered.
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,You've saved me once more.
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,He's beyond the healer's skills. All l can do is ease his path.
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,There is a spell. Some would say death is cleaner.
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,There is a price.
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,lt's not a matter of gold. This is blood magic. Only death pays for life.
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,"No, not your death, Khaleesi. Bring me his horse."
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,Go. Now.
2011-06-12,Season 1,Episode 9,Baelor,mirri maz duur,"You must go also, lady. Once l begin to sing, no one must enter the tent. The dead will dance here tonight."
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,"Monstrous, twisted. l pulled him out myself. He was scaled like a lizard, blind, with leather wings like the wings of a bat. When l touched him the skin fell from his bones. Inside he was full of graveworms. l warned you that only death can pay for life. You knew the price."
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,"As you command, lady. Come. l will take you to him."
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,"He lives. You asked for life, you paid for life."
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,"When the sun rises in the west, sets in the east. When the seas go dry. When the mountains blow in the wind like leaves."
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,lt was wrong of them to burn my temple. lt angered the Great Shepherd.
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,lnnocent? He would have been The Stallion Who Mounts The World. Now he will burn no cities. Now his khalasar will trample no nations into dust.
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,"Saved me? Three of those riders had already raped me before you saved me, girl. l saw my godo s house burn, there where l had healed men and women beyond counting. ln the streets l saw piles of heads, the head of the baker who makes my bread, the head of a young boy that l had cured of fever just three moons past. So tell me again exactly what it was that you saved?"
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,Why don't you take a look at your khal. Then you will see exactly what life is worth when all the rest has gone.
2011-06-19,Season 1,Episode 10,Fire and Blood,mirri maz duur,You will not hear me scream.
