Release Date,Season,Episode,Episode Title,Name,Sentence
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,The Unsullied have stood here for a day and a night with no food or water.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,They will stand until they drop.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,Such is their obedience.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,"The Westrosi woman is pleased with them, but speaks no praise to keep the price down. She wished to know how they are trained."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,"They begin their training at five. Every day they drill from dawn to dusk until they have mastered the shortsword, the shield, and the three spears. Only one boy in four survives this rigorous training."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,Their discipline and loyalty are absolute. They fear nothing.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,The knight says even brave men fear death.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,"Truly, master?"
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,My master says the Unsullied are not men. Death means nothing to them.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,"He begs you attend to this carefully, Your Grace."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,My master points out that men don't need nipples.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,"To win his shield, an Unsullied must go to the slave marts with a silver mark, find a newborn, and kill it before its mother's eyes. This way, my master says, we make certain there is no weakness left in them."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,She is offended. She asks if you pay a sliver coin to the mother for her dead baby.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,"My master would like you to know that the silver is paid to the baby's owner, not the mother."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,Eight thousand.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,missandei,Master Kraznys asks that you please hurry. Many other buyers are interested.
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"All? Did this one's ears mishear, Your Grace?"
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,She wants to buy them all.
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,There are eight thousand Unsullied in Astapor. Is this what you mean by all?
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"Master Greizhen says they cannot sell half-trained boys. If they fail on the battlefield, they will bring shame upon all of Astapor."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,Master Kraznys says you cannot afford this.
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,Your ship will buy you Because Master Kraznys is generous.
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,The gold you have left is worth ten.
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,But good Master Kraznys will give you twenty.
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,The Dothraki you have with you-
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"The Dothraki you have are not worth what they cost to feed, but Master Kraznys will give you three Unsullied for all of them."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"Master Kraznys asks how you propose to pay for the remaining 7,877 unsullied."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,They want the biggest one.
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"She asks that you give me to her, as a present. She asks that you do this now."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"This one's name is Missandei, Your Grace."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"No, Your Grace. No family living."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"Yes, Your Grace. Lying is a great offense. Many of those on the Walk of Punishment were taken there for less."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"There are no masters in the grave, Your Grace."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,"All questions have been taken from them. They obey, that is all. Once they are yours, they are yours. They will fall on their swords if you command it."
2013-04-14,Season 3,Episode 3,Walk of Punishment,missandei,Valar morghulis.
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,missandei,"The master says they are untested. He says you would be wise to blood them early. There are many small cities between here and there, cities ripe for sacking. Should you take captives, the masters will buy the healthy ones and for a good price."
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,missandei,"And who knows? In ten years, some of the boys you send them may be Unsullied in their turn. Thus all shall prosper."
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,missandei,It is done.
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,missandei,You hold the whip.
2013-04-28,Season 3,Episode 5,Kissed by Fire,missandei,"Yes, khaleesi. The officers."
2013-04-28,Season 3,Episode 5,Kissed by Fire,missandei,"All Unsullied boys are given new names when they are cut- Grey Worm, Red Flea, Black Rat. Names that remind them what they are- vermin."
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,missandei,"Now comes the noble Razdal mo Eraz of that ancient and honorable house, master of men and speaker to savages, to offer terms of peace."
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,missandei,"Noble lord, you are in the presence of Daenerys Stormborn of House Targaryen, Queen of the Andals and the First Men, Khaleesi of the Great Grass Sea, Breaker of Chains, and Mother of Dragons."
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,missandei,Will the noble lord take refreshment?
2013-05-19,Season 3,Episode 8,Second Sons,missandei,"Yes, Your Grace."
2013-05-19,Season 3,Episode 8,Second Sons,missandei,It only took Your Grace a year to learn Dothraki reasonably well.
2013-05-19,Season 3,Episode 8,Second Sons,missandei,Dothraki is difficult for the mouth to master. So guttural and harsh.
2013-05-19,Season 3,Episode 8,Second Sons,missandei,Athjahakar.
2013-05-19,Season 3,Episode 8,Second Sons,missandei,Ath-ja-hakar.
2013-05-19,Season 3,Episode 8,Second Sons,missandei,"Your High Valyrian is very good, Your Grace. The gods could not devise a more perfect tongue. It is the only proper language for poetry."
2013-06-09,Season 3,Episode 10,Mhysa,missandei,"This is Daenerys Targaryen, the Stormborn, the Unburnt, the Queen of the Seven Kingdoms of Westeros, Mother of Dragons. It is to her you owe your freedom"
2013-06-09,Season 3,Episode 10,Mhysa,missandei,"It is old Ghiscari, khaleesi. It means 'mother'."
2014-04-06,Season 4,Episode 1,Two Swords,missandei,"Since midnight, Your Grace."
2014-04-06,Season 4,Episode 1,Two Swords,missandei,"Several times, Your Grace, with Master Kraznys."
2014-04-06,Season 4,Episode 1,Two Swords,missandei,"They say 1,000 slaves died building the Great Pyramid of Meereen."
2014-04-06,Season 4,Episode 1,Two Swords,missandei,"If they're smart, Your Grace."
2014-04-06,Season 4,Episode 1,Two Swords,missandei,Your Grace.
2014-04-20,Season 4,Episode 3,Breaker of Chains,missandei,"He says that we're an army of men without man parts. He claims you are no woman at all, but a man who... hides his cock in his own asshole."
2014-04-20,Season 4,Episode 3,Breaker of Chains,missandei,"He is very brave, Your Grace."
2014-04-27,Season 4,Episode 4,Oathkeeper,missandei,Isles. Summer Isles.
2014-04-27,Season 4,Episode 4,Oathkeeper,missandei,I am from an island called Naath.
2014-04-27,Season 4,Episode 4,Oathkeeper,missandei,"When did they take me?"" I was five years old."
2014-04-27,Season 4,Episode 4,Oathkeeper,missandei,I remember when they rowed us away from shore. How white the beaches were. How tall the trees. And I remember my village burning. Smoke rising into the sky. Do you remember your home?
2014-04-27,Season 4,Episode 4,Oathkeeper,missandei,That's not true. Perhaps one day you will return to the Summer Isles.
2014-04-27,Season 4,Episode 4,Oathkeeper,missandei,Kill the masters.
2014-04-27,Season 4,Episode 4,Oathkeeper,missandei,"Very well, Your Grace."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,missandei,The Queen says you may approach and speak.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,missandei,He is a goatherd. He says he prayed for your victory against the slave masters.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,missandei,"It was your dragons, he says. They came this morning for his flock."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,missandei,"He hopes he has not offended Your Grace, but now he has nothing."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,missandei,"There are 212 supplicants waiting, Your Grace."
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,"No, not spying."
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,Yes your grace.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,No.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,He was interested.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,I believe he was interested.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,All of it?
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,"I don't know, your grace."
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,"Yes, your grace."
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,in Valyrian* You don't need to apologize.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,in Valyrian* No.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,To me.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,I don't remember teaching you the word precious.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,Do you remember the name you were given at birth?
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,"When they cut you, do you remember that?"
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,I'm sorry. I'm sorry they did that to you.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,It's a terrible thing to do to a boy.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,in Valyrian* Grey Worm.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,missandei,in Valyrian* I'm glad you saw me.
2014-06-15,Season 4,Episode 10,The Children,missandei,"in Valyrian* You stand before Daenerys Stormborn, the Unburnt, Queen of Mereen, Queen of the Andals and the Rhoynar and the First Men. Khaleesi of the Great Grass Sea, Breaker of Chains and Mother of Dragons."
2014-06-15,Season 4,Episode 10,The Children,missandei,in Low Valyrian* The Queen says you may approach.
2014-06-15,Season 4,Episode 10,The Children,missandei,translating* I have brought you. He came from the sky. The black one. The winged shadow. He came from the sky and...
2014-06-15,Season 4,Episode 10,The Children,missandei,translating* My girl. My little girl.
2014-06-15,Season 4,Episode 10,The Children,missandei,"Zala, your grace."
2014-06-15,Season 4,Episode 10,The Children,missandei,Three.
2015-04-12,Season 5,Episode 1,The Wars to Come,missandei,Torgo Nudho.
2015-04-12,Season 5,Episode 1,The Wars to Come,missandei,I wanted to speak with you.
2015-04-12,Season 5,Episode 1,The Wars to Come,missandei,"White Rat, the Unsullied who… I have heard they found his body in a brothel. I have heard that more than one Unsullied has been known to visit Meereen's brothels. May I ask you why? Why would an Unsullied go to a brothel?"
2015-05-03,Season 5,Episode 4,Sons of the Harpy,missandei,Glory?
2015-05-10,Season 5,Episode 5,Kill the Boy,missandei,You're still too weak. .
2015-05-10,Season 5,Episode 5,Kill the Boy,missandei,Three days.
2015-05-10,Season 5,Episode 5,Kill the Boy,missandei,"You failed no one. You fought bravely. You'll fight again. Are you ashamed? You were ambushed, outnumbered. There was no way you could have known."
2015-05-10,Season 5,Episode 5,Kill the Boy,missandei,All men fear death.
2015-05-10,Season 5,Episode 5,Kill the Boy,missandei,Now you have given the Masters what they deserve.
2015-05-10,Season 5,Episode 5,Kill the Boy,missandei,"Your Grace, I think that I am not fit to have an opinion on these matters."
2015-05-10,Season 5,Episode 5,Kill the Boy,missandei,"I can only tell you what I have seen, Your Grace. . I have seen you listen to your counselors. I have seen you lean on their experience when your own was lacking and weigh the choices they put before you. And I have seen you ignore your counselors, because there was a better choice. One that only you could see."
