Release Date,Season,Episode,Episode Title,Name,Sentence
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"Kiss me, child."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,It's so good of you to visit me and my foolish flock of hens. We're very sorry for your losses.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"Gallant, yes. And charming and very clean. He knew how to dress and smile and somehow this gave him the notion he was fit to be king."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,Loras is young and very good at knocking men off horses with a stick. That does not make him wise. As to your fathead father-
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"She might think we have some wits about us. One of us, at any rate. It was treason. I warned them. Robert has two sons and Renly has an older brother. How could he possibly have any claim to that ugly iron chair? We should have stayed well out of all this if you ask me. But once the cow's been milked, there's no squirting the cream back up her udders. So here we are to see things through. What do you say to that, Sansa? Shall we have some lemon cakes?"
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"So we've been told. Are you going to bring the food or do you mean to starve us to death? Here, Sansa, come sit with me. I'm much less boring than these others."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,Do you know my son? The Lord of Highgarden?
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"No great pleasure, believe me. A ponderous oaf. His father was an oaf as well. My husband, the late Lord Luthor. He managed to ride off a cliff whilst hawking. They say he was looking up at the sky and paying no mind to where his horse was taking him. And now my son is doing the same, only this time he's riding a lion instead of a horse. Now I want you to tell me the truth about this royal boy, this Joffrey."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"You, you. Who else would know better? We've heard some troubling tales. Is there any truth to them? Has this boy mistreated you?"
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,Has he ripped out your tongue?
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"Yes, all Lannisters are lions. And when a Tyrell farts, it smells like a rose. But how kind is he? How clever? Has he a good heart, a gentle hand?"
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,Bring me some cheese.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,The cheese will be served when I want it served. And I want it served now.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"Are you frightened, child? No need for that. We're only women here. Tell us the truth. No harm will come to you."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"Yes, he had that reputation. And they named him traitor and took his head."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,Go on.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"Speak freely, child. We would never betray your confidence, I swear it."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,Ah. That's a pity.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",olenna tyrell,"Have no fear. The Lord Oaf of Highgarden is determined that Margaery shall be queen. Even so, we thank you for the truth. Ah, here comes my cheese."
2013-04-28,Season 3,Episode 5,Kissed by Fire,olenna tyrell,"Gods, boy, that's enough. We're not in a tavern."
2013-04-28,Season 3,Episode 5,Kissed by Fire,olenna tyrell,No need to speak. Are there any figs? Fetch some. I always take figs midafternoon. They help move the bowels. To what do I owe this summons?
2013-04-28,Season 3,Episode 5,Kissed by Fire,olenna tyrell,I climbed all those steps to discuss financial matters?
2013-04-28,Season 3,Episode 5,Kissed by Fire,olenna tyrell,Naturally.
2013-04-28,Season 3,Episode 5,Kissed by Fire,olenna tyrell,What good is the word extravagant if it can't be used to describe a royal wedding?
