Release Date,Season,Episode,Episode Title,Name,Sentence
2014-04-20,Season 4,Episode 3,Breaker of Chains,olly,Mother says it's time to eat.
2014-04-20,Season 4,Episode 3,Breaker of Chains,olly,Potatoes.
2014-04-20,Season 4,Episode 3,Breaker of Chains,olly,Yes. Yes.
2014-04-27,Season 4,Episode 4,Oathkeeper,olly,I can fight.
2014-04-27,Season 4,Episode 4,Oathkeeper,olly,I was!
2015-04-12,Season 5,Episode 1,The Wars to Come,olly,It's too heavy.
2015-04-26,Season 5,Episode 3,High Sparrow,olly,Night gathers and now my watch begins -
2015-04-26,Season 5,Episode 3,High Sparrow,olly,"I'm the sword in the darkness, the watcher on the walls, the shield that guards the realm of men. I pledge my life -"
2015-05-10,Season 5,Episode 5,Kill the Boy,olly,"You don't mean it, do you? Telling the wildlings you want to make peace. You're just doing it to trick them."
2015-05-10,Season 5,Episode 5,Kill the Boy,olly,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew."
2015-05-10,Season 5,Episode 5,Kill the Boy,olly,"Will there be anything else you need, Lord Commander?"
2015-05-31,Season 5,Episode 8,Hardhome,olly,Olly.
2015-05-31,Season 5,Episode 8,Hardhome,olly,I heard what happened.
2015-05-31,Season 5,Episode 8,Hardhome,olly,Figured you were hungry.
2015-05-31,Season 5,Episode 8,Hardhome,olly,Wanted to ask you something. If you've got the time.
2015-05-31,Season 5,Episode 8,Hardhome,olly,It's about the Lord Commander.
2015-05-31,Season 5,Episode 8,Hardhome,olly,He's going up to Hardhome to save all them wildlings. Wildlings killed my mom and dad. They killed everyone in my village.
2015-05-31,Season 5,Episode 8,Hardhome,olly,This wasn't a fight. We were farmers and they slaughtered us. So why's he saving them?
2015-05-31,Season 5,Episode 8,Hardhome,olly,"The one he's travelling with, the one with the red beard, he led the raid on my village."
2015-05-31,Season 5,Episode 8,Hardhome,olly,How can he trust him?
2015-05-31,Season 5,Episode 8,Hardhome,olly,But what if we let the wildings through the gates and they cut our throats while we sleep?
2015-05-31,Season 5,Episode 8,Hardhome,olly,You believe that?
2015-06-14,Season 5,Episode 10,Mother’s Mercy,olly,Lord Commander. It's one of the wildlings you brought back. Says he knows your Uncle Benjen. Says he's still alive.
2015-06-14,Season 5,Episode 10,Mother’s Mercy,olly,Says he was first Ranger. Said he knows where to find him.
2015-06-14,Season 5,Episode 10,Mother’s Mercy,olly,For the Watch.
