Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-22,Season 1,Episode 6,A Golden Crown,osha,All alone in the deep dark woods.
2011-05-22,Season 1,Episode 6,A Golden Crown,osha,"Oh, that's a pretty pin. Silver."
2011-05-22,Season 1,Episode 6,A Golden Crown,osha,the boy's worth nothing dead. Benjen Stark's own blood. Think what Mance would give us.
2011-05-22,Season 1,Episode 6,A Golden Crown,osha,"Give me my life, my lord, and I'm yours."
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,Where is it you come from?
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,They far away?
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,"Trust me, you've never heard where I'm from neither."
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,And what's that?
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,Why?
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,"What's that got to do with you? If your father's lord, how can you be lord too?"
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,So you're not lord now?
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,I just don't understand how you Southerners do things.
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,You're from South of the wall. That makes you a Southerner to me.
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,"Couldn't say, My Lord. Don't know what ""impunent"" means."
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,I'm used to worse than him.
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,I'm used to men who could chew that boy up and pick their teeth with his bones.
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,Didn't mean to come here. Meant to get much further South than this.
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,There's things that sleep in the day and hunt at night.
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,I'm not talking about Owls and Shadowcats.
2011-05-29,Season 1,Episode 7,You Win or You Die,osha,"They wasn't gone, old man. They was sleeping."
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,"Your father's not down there, little lord. Not for many years yet."
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,l'm not afraid of some hole in the ground.
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,You see? He's not here.
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,That beast is supposed to be chained in the kennels!
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,"You both miss him. lt's only natural he should be in your thoughts and dreams, but that doesn't mean that –"
2012-04-01,Season 2,Episode 1,The North Remembers,osha,Boil this for an hour and drink the tea. Makes all your pain go away.
2012-04-01,Season 2,Episode 1,The North Remembers,osha,Lucky for you.
2012-04-01,Season 2,Episode 1,The North Remembers,osha,You've been having those dreams again.
2012-04-01,Season 2,Episode 1,The North Remembers,osha,Everyone dreams.
2012-04-01,Season 2,Episode 1,The North Remembers,osha,"Did they? . I heard some other fools say it's Lannister Red. Means the Lannisters will rule all Seven Kingdoms before long. I heard a stable boy say it's the color of blood, to mark the death of your father."
2012-04-01,Season 2,Episode 1,The North Remembers,osha,"The stars don't fall for men. The red comet means one thing, boy. Dragons."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,Ask your Maester Luwin. He's the one studying books all the time.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,"Must not mean anything, then."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,"You might be a little lord, but don't you call me a liar."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,I never said I didn't.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,That's not the same as being a liar.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,"So, you've been dreaming of a three-eyed raven again? In the godswood, you told me you didn't dream. Now who's a liar? What did you see in your dream?"
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,"Something bad? Tell me, boy."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,The sea is hundreds of miles away.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,I've got to get these potatoes to the kitchen. Otherwise they'll put me in chains again.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,osha,They say all sorts of crazy things north of the Wall.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,My Lord Greyjoy.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,You were here the day I was taken.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,Let me serve you.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,It was Robb Stark who put me in the kitchens. Put a spear in my hand again.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,Step aside.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,"It's your dream, little lord. The ocean has come to swallow this place. I ain't letting it drown me."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,I'm no liar.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,"I done what I had to do to stay alive. I hate the Starks as well as you do. Let me serve you, my lord."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,"There are other ways to serve, my lord."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,"We know things, the free people."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,Other things.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,Savage things.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,It comes at a price.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,I already had that.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,I have something for you from Prince Theon.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,osha,Me. He says I'm to make the rounds. And keep you warm.
2012-05-13,Season 2,Episode 7,A Man Without Honor,osha,We should have took more food.
2012-05-13,Season 2,Episode 7,A Man Without Honor,osha,Those people all love you. They would have given you whatever you needed.
2012-05-13,Season 2,Episode 7,A Man Without Honor,osha,The boy can't survive on walnuts.
2012-05-13,Season 2,Episode 7,A Man Without Honor,osha,We've been walking since before sunrise. Even Hodor will tire.
2012-05-13,Season 2,Episode 7,A Man Without Honor,osha,"Even you, sweet giant."
2012-05-13,Season 2,Episode 7,A Man Without Honor,osha,"You've never seen me climb a tree, little man."
2012-05-13,Season 2,Episode 7,A Man Without Honor,osha,"We got a good start on them, but we can't outrun hounds forever."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,osha,Got as far as the farm and then doubled back. Walked through the stream to throw off the hounds. Hoped this would be the last place they'd think to look.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,osha,Who was that out there hung up at the gates?
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,osha,He killed them and burned them and passed them off as the little lords?
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,osha,They'll never hear it from me. The little lads have suffered enough.
2012-06-03,Season 2,Episode 10,Valar Morghulis,osha,North's the wrong way. And mother and brother are south. We don't know where.
2012-06-03,Season 2,Episode 10,Valar Morghulis,osha,I've got no great love for my own kind. I'll get you milk of the poppy. Tell me where to find it.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,"Were you inside the wolf again, little lord?"
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,He's back.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,I don't want to hear about it.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,We've got plenty of worries. We don't need to pour black magic on top of them.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,"I know you didn't, little lord."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,We need to move.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,And who told you that? The three-eyed raven tell you?
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,"Some good he is, then."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,I don't know what other people know and what they don't. I only know the Wall is a long way off.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,Looking for food.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,"Not another step, boy. Unless you want to drown in your own blood."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,That was poor planning.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,"If you kill me, that wolf will tear you to bits."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,"Rickon, stay with us."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,What's he telling him?
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,"Isn't he ashamed, your brother, needing you to protect him?"
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",osha,Any boy his age who needs his sister to protect him is gonna find himself needing lots of protecting.
