Release Date,Season,Episode,Episode Title,Name,Sentence
2012-05-13,Season 2,Episode 7,A Man Without Honor,pyat pree,"You are cruel, my friend. The Mother of Dragons is in the right. She must be reunited with her babies. I will help you, Khaleesi."
2012-05-13,Season 2,Episode 7,A Man Without Honor,pyat pree,"When I learned you were coming to our city, I made an arrangement with the King of Qarth. He procured them for me."
2012-05-13,Season 2,Episode 7,A Man Without Honor,pyat pree,"The Mother of Dragons will be with her babies. She will give them her love and they will thrive by her side, forever."
2012-05-13,Season 2,Episode 7,A Man Without Honor,pyat pree,"Where will you run to, Daenerys Stormborn? Your dragons wait for you in the House of the Undying. Come see them."
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,They want to be with you.
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,Do you want to be with them?
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,You will be.
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,"When your dragons were born,"
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,our magic was born again.
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,It is strongest in their presence.
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,And they are strongest in yours.
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,"You will be with them, through winter, summer, winter again. Across a thousand, thousand seasons you will be with them."
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,And we will be with you until time comes to an end.
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,"Welcome home, Daenerys Stormborn."
2012-06-03,Season 2,Episode 10,Valar Morghulis,pyat pree,They will be waiting a long time.
