Release Date,Season,Episode,Episode Title,Name,Sentence
2013-03-31,Season 3,Episode 1,Valar Dohaeris,qyburn,Water. Water.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,qyburn,Qyburn.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,qyburn,Lucky?
2013-04-28,Season 3,Episode 5,Kissed by Fire,qyburn,No. The corruption has spread. I fear it must be cut away. The safest course would be to take the whole arm off.
2013-04-28,Season 3,Episode 5,Kissed by Fire,qyburn,"The Citadel stripped me of it. They found some of my experiments too bold. I can leave your upper arm, make the cut at your elbow."
2013-04-28,Season 3,Episode 5,Kissed by Fire,qyburn,I can take away the rotting flesh and try and burn out the corruption - with boiling wine.
2013-04-28,Season 3,Episode 5,Kissed by Fire,qyburn,"With any luck, that will suffice. You'll need milk of the poppy."
2013-04-28,Season 3,Episode 5,Kissed by Fire,qyburn,There will be pain.
2013-04-28,Season 3,Episode 5,Kissed by Fire,qyburn,Quite a bit of pain.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,Here. Let me.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,It will take time.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,"How is the pain, my lord?"
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,"Well, we've stymied the corruption."
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,All the good it's done me.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,"Faint praise, my lord."
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,"No, my lord. That's not my weakness."
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,Curiosity. The only way to treat disease is to understand disease. And the only way to understand it is to study the afflicted.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,On dying men.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,My studies have given me insight that has saved many lives.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,"How many men have you killed, my lord?"
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,Fifty? A hundred?
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,Countless.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,And how many lives have you saved?
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,A bird flew off and a bird flew back. Lord Selwyn Tarth offered three hundred gold dragons for his daughter's safe return.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,A fair offer. Locke won't take it.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,He's convinced Lord Tarth owns all the sapphire mines in Westeros.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,He feels he's being cheated.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,qyburn,"These men have been at war a long time. Most of them will be dead by winter. She'll be their entertainment tonight. Beyond tonight, I don't think they care very much."
2014-04-06,Season 4,Episode 1,Two Swords,qyburn,"A work of art, really. The craftsmanship is excellent."
2014-04-06,Season 4,Episode 1,Two Swords,qyburn,The symptoms have abated?
2014-04-06,Season 4,Episode 1,Two Swords,qyburn,"Not a maester, Your Grace, but happy to help whenever I can."
2014-06-15,Season 4,Episode 10,The Children,qyburn,"It is, yes, manticore."
2014-06-15,Season 4,Episode 10,The Children,qyburn,Yes there is.
2014-06-15,Season 4,Episode 10,The Children,qyburn,Saving him.
2014-06-15,Season 4,Episode 10,The Children,qyburn,That's for the best. No Maester knows how to save him.
2014-06-15,Season 4,Episode 10,The Children,qyburn,"Difficult to say, your grace, but if my past work is any guide. We stand a chance."
2014-06-15,Season 4,Episode 10,The Children,qyburn,"Thank you, your grace. You should know, the process may change him, somewhat."
2014-06-15,Season 4,Episode 10,The Children,qyburn,Oh no.
2015-04-19,Season 5,Episode 2,The House of Black and White,qyburn,"Pardon me, Your Grace. I would take it, if you don't mind. It could prove useful for my work."
2015-04-19,Season 5,Episode 2,The House of Black and White,qyburn,Over there will be fine.
2015-04-26,Season 5,Episode 3,High Sparrow,qyburn,It doesn't matter. .
2015-04-26,Season 5,Episode 3,High Sparrow,qyburn,I heard this all began in Littlefinger's brothel.
2015-04-26,Season 5,Episode 3,High Sparrow,qyburn,So you were administering to the needs of these devout prostitutes?
2015-04-26,Season 5,Episode 3,High Sparrow,qyburn,Your Grace.
2015-04-26,Season 5,Episode 3,High Sparrow,qyburn,"At once, Your Grace. ."
2015-04-26,Season 5,Episode 3,High Sparrow,qyburn,Very well.
2015-04-26,Season 5,Episode 3,High Sparrow,qyburn,"More than I've expected. Still a way to go, but…"
2015-04-26,Season 5,Episode 3,High Sparrow,qyburn,"Shh. Easy, friend."
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,The trial will take place. The High Sparrow will be presenting a substantial case against you.
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,"Fornication, treason, incest, the murder of King Robert."
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,"Of course, Your Grace. My concern is that The Faith does not adhere to the same standards of proof as the crown. And I hope you'll excuse me for saying it, but belief is so often the death of reason."
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,"I'm afraid not. Your Grace, Grand Maester Pycelle has summoned your Uncle Kevan back from Casterly Rock to serve as Hand of the King. He now presides over the small council."
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,I implored him to visit you but he would not.
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,"Your arrest, and Queen Margaery's arrest, the king has not taken well. He remains in his chambers, his servants often find his food in the hall. Left untouched."
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,"I tried my grace, he wouldn't see me. He wouldn't see anyone."
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,"There is a way, Your Grace. A way out."
2015-05-31,Season 5,Episode 8,Hardhome,qyburn,Goodbye my queen. The work continues.
2015-06-14,Season 5,Episode 10,Mother’s Mercy,qyburn,Your Grace. It's good to have you back. Come. We'll take you inside. I need to have a look at those feet.
2015-06-14,Season 5,Episode 10,Mother’s Mercy,qyburn,May I have the honor of presenting the newest member of the Kingsguard.
