Release Date,Season,Episode,Episode Title,Name,Sentence
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",ramsay bolton,Your sister sent me.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",ramsay bolton,I'll come for you tonight when the castle sleeps.
2013-04-14,Season 3,Episode 3,Walk of Punishment,ramsay bolton,Keep quiet.
2013-04-14,Season 3,Episode 3,Walk of Punishment,ramsay bolton,"If you can't ride, we don't stand a chance."
2013-04-14,Season 3,Episode 3,Walk of Punishment,ramsay bolton,You're sure?
2013-04-14,Season 3,Episode 3,Walk of Punishment,ramsay bolton,Ride east. Follow the rising sun. Your sister's waiting for you.
2013-04-14,Season 3,Episode 3,Walk of Punishment,ramsay bolton,We're not in the Iron Islands. Go.
2013-04-14,Season 3,Episode 3,Walk of Punishment,ramsay bolton,"Come, my lord."
2013-04-14,Season 3,Episode 3,Walk of Punishment,ramsay bolton,You're a long way from home and winter is coming.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Sorry. Were you sleeping?
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Wa-? Wa-? Water? You want some water. I wish I had some for you.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,So let's play a game. Which body part do you need the least?
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Please is not a body part.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,"But you've already told me everything. Remember? Your daddy was mean to you. The Starks didn't appreciate you. One good bit, though. The Stark boys, they're still alive. Wouldn't that be a hunt to remember? You failed, but I'm a better hunter than you."
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,"Now how about your little finger? You don't use that for much, do you? No? Good. Let's start with that."
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,"You've been wondering why you're here. Haven't you? Where you are. Who I am. Why I'm doing this to you. So guess. If you guess right, I'll tell you. By the old gods and the new, I swear it. You win the game if you can figure out who I am and why I'm torturing you and I win the game if you beg me to cut off your finger."
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,"If you think this has a happy ending, you haven't been paying attention."
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,You say please again and you'll wish you hadn't. You first. Where are we?
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Too vague.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Terrible guess.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,"Now, where?"
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Do I look like a fucking Umber to you?
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Karhold? How did you know that? Did you see any banners flying when we came in?
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,"Very good, Lord Theon. And who am I?"
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,He's dead. Strangled by the Kingslayer.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,You're right.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Yes. You win.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,"Of course, you forgot to ask one question. You forgot to ask if I'm a liar."
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,I'm afraid I am.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,Everything I told you is a lie.
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,"This isn't happening to you for a reason. Well, one reason- I enjoy it."
2013-05-05,Season 3,Episode 6,The Climb,ramsay bolton,I win.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,ramsay bolton,I'm sorry. I'm sorry. Terrible timing.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,ramsay bolton,But I was getting jealous.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,ramsay bolton,Well? Should we see this cock everyone's always going on about?
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,ramsay bolton,Everyone knows you love girls. I bet you always thought they loved you back.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,ramsay bolton,Your famous cock must be very precious to you. Would you say it's your most precious part?
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,ramsay bolton,This is mercy. I'm not killing you. Just making a few alterations.
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,"Well, the girls weren't lying. You had a good-sized cock."
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,What? No. Pork sausage. You think I'm some sort of savage?
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,People talk about phantom limbs. An amputee might have an itch where his foot used to be. So I've always wondered do eunuchs have a phantom cock?
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,"Next time you think about naked girls, would you feel an itch?"
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,Sorry. I shouldn't make jokes. My mother taught me not to throw stones at cripples.
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,But my father taught me to aim for their head.
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,"Sorry, what?"
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,A little louder.
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,You're no good to me dead. We need you.
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,"You don't look like a Theon Greyjoy anymore. That's a name for a lord. But you're not a lord, are you? You're just meat."
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,Stinking meat.
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,You reek. Reek! That's a good name for you. What's your name?
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,What's your name?
2013-06-09,Season 3,Episode 10,Mhysa,ramsay bolton,What is your name?!
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,Tansy! Tansy! Tansy!
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,Tansy! Tansy!
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,There you are.
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,Tansy!
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,"If you make it out of the woods, you win! Run, Tansy, run!"
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,Tansy.
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,"Tansy, Tansy, Tansy!"
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,"Good girls. Down, girls. Down. Well done. You, too."
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,"You brought her down. That's what matters. A fine shot. Wasn't it, Reek?"
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,"Oh, sweet. Don't cry. It will be over soon."
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,"We have to reward the hounds, love. They did all the hard work."
2014-04-13,Season 4,Episode 2,The Lion and the Rose,ramsay bolton,But you made Myranda feel jealous.
