Release Date,Season,Episode,Episode Title,Name,Sentence
2011-06-19,Season 1,Episode 10,Fire and Blood,rickard karstark,l'll have peace on those terms. They can keep their Red Castle and their iron chair too. The King in the North!
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,"Ser Alton's pen is occupied, Your Grace. The prisoners from the Yellow Fork."
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,Does he need to lie down?
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,Torrhen.
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,Get back! I want his head! Any man who stands between a father and his vengeance asks for death.
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,I will have his head. And if you try and stop me
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,And where is our king now?
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,"He has gone to the Crag to accept the surrender. Aye, gone to the Crag, but not to negotiate. He brought that foreign bitch with him."
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,Treason? How can it be treason to kill Lannisters?
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,"When your son returns, I will demand this murderer's head."
2012-05-13,Season 2,Episode 7,A Man Without Honor,rickard karstark,Fathers who love their sons do. I will have his head.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,rickard karstark,"I lost one son fighting by your son's side. I lost another to the Kingslayer, strangled with a chain. You commit treason because your children are prisoners? I would carve out my heart and offer it to the Father, if he would let my sons wake from their graves and step into a prison cell."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,rickard karstark,I don't want your grief. I want my vengeance. And you stole it from me.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,rickard karstark,Two hundred Northmen slaughtered like sheep.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,rickard karstark,Will it? They rot in the ground while their killer runs free.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",rickard karstark,We're at war. This march is a distraction.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",rickard karstark,Are we riding to battle at Riverrun?
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",rickard karstark,Then it's a distraction.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",rickard karstark,"Unless he's been breeding them, he don't have enough to make a difference."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",rickard karstark,"If it's revenge, I still got faith in it."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",rickard karstark,I can believe till it snows in Dorne. Don't change the fact that we've got half the men.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",rickard karstark,"May I speak my mind, Your Grace?"
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",rickard karstark,I think you lost this war the day you married her.
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,Lannister filth! Take him!
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,"Not murder, Your Grace. Vengeance."
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,Was strangled by the Kingslayer. They were his kin.
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,Tell your mother to look at them. She killed them as much as I.
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,"It's treason to free your enemies. In war, you kill your enemies. Did your father not teach you that, boy?"
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,Aye. Leave me to the king. He wants to give me a scolding before he sets me free. That's how he deals with treason. Our King in the North. Or should I call him the King Who Lost the North?
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,"The blood of the First Men flows through my veins as much as yours, boy. I fought the Mad King for your father. I fought Joffrey for you. We are kin- Stark and Karstark."
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,I don't want it to save me. I want it to haunt you to the end of your days.
2013-04-28,Season 3,Episode 5,Kissed by Fire,rickard karstark,Kill me and be cursed. You are no king of mine.
