Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest."
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,What is it?
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,I hear the prince is a right royal prick.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair."
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Uncle Benjen.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,I'm good.
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Time for bed.
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,You've said goodbye to Bran? He's not going to die. I know it.
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,My mother?
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,"Good. Next time I see you, you'll be all in black."
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,"Farewell, Snow."
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,I'll make the appointments. We'll talk about it first thing in the morning.
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,When was the last time you left this room?
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,"He's not going to die, mother. Maester Luwin says the most dangerous time has passed."
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,"Rickon needs you. He's six. He doesn't know what's happening. He follows me around all day, clutching my leg, crying..."
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,Fire. You stay here. I'll come back.
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,They come into our home and try to murder my brother? If it's war they want...
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,I'll ride to King's Landing.
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,"Mother, you can't."
2011-04-24,Season 1,Episode 2,The Kingsroad,robb stark,What about Bran?
2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,What are you telling him now?
2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,Get your supper. I want some time with him. One time she told me the sky is blue because we live inside the eye of a blue-eyed giant named Macumber.
2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,"How do you feel? You still don't remember anything? I've seen you climb a thousand times. In the wind, in the rain... A thousand times. You never fall."
2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,Don't ever say that.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,Any man of the Night's Watch is welcome at Winterfell.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,"I'm not your boy, Lannister. I'm Lord of Winterfell while my father is away."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,Why are you here?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,Is this some kind of trick? Why do you want to help him?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,You've done my brother a kindness. The hospitality of Winterfell is yours.
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,Not too fast.
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,Not now.
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,You're talking about war.
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,Only the Lord of Winterfell can call in the bannermen and raise an army.
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,You want me to march on Casterly Rock?!
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,"And it's not your duty, because it's not your House."
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,Where's Bran?
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,Drop the knife. Let him go and I'll let you live.
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,Are you all right?
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,Have you lost your mind? What if you'd missed?
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,You don't have the right -
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,What about her?
2011-05-22,Season 1,Episode 6,A Golden Crown,robb stark,We'll keep her alive.
2011-06-05,Season 1,Episode 8,The Pointy End,robb stark,Treason? Sansa wrote this?
2011-06-05,Season 1,Episode 8,The Pointy End,robb stark,"Joffrey puts my father in chains, now he wants his ass kissed?"
2011-06-05,Season 1,Episode 8,The Pointy End,robb stark,"I won't refuse. His Grace summons me to King's Landing, I'll go to King's Landing."
