Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,You've got fat.
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Cat!
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?"
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ooh. Show us your muscles. You'll be a soldier.
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Take me to your crypt. I want to pay my respects.
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ned.
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man."
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what."
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king."
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses."
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,She belonged with me.
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"In my dreams, I kill him every night."
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Not all of them.
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Are you as good with a spear as you used to be?
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,I know what I'm putting you through. Thank you for saying yes. I only ask you because I need you. You're a loyal friend. You hear me? A loyal friend. The last one I've got.
2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"You will. And I'll make sure you don't look so fucking grim all the time. Come on, boys, let's go kill some boar!"
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"Gods, this is country! I've half a mind to leave them all behind and keep going."
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"What do you say, just you and me on the Kingsroad, swords at our sides, a couple of tavern wenches to warm our beds tonight."
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"There were wars to fight, women to marry... We never had the chance to be young."
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"There was that one... Oh, what was her name? That common girl of yours? Becca? With the great big tits you could bury your face in."
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,Bessie! Thank the gods for Bessie and her tits. Yours was... Aleena? No. You told me once. Meryl? Your bastardo s mother?
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,That's it. She must have been a rare wench to make Lord Eddard Stark forget his honor. You never told me what she looked like.
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"We were at war. None of us knew if we were gonna go back home again. You're too hard on yourself. You always have been. I swear if I weren't your King, you'd have hit me already."
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"Trust me, that's not the worst thing. There was a rider in the night."
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"A knife perhaps, a good sharp one, and a bold man to wield it."
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,Soon enough that child will spread her legs and start breeding.
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"Oh, it's unspeakable to you? What her father did to your family... That was unspeakable. What Rhaegar Targaryen did to your sister... the woman I loved. I'll kill every Targaryen I get my hands on."
2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"This Khal Drogo, it's said he has 100,000 men in his horde."
