Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robin arryn,Mommy? Is that the bad man?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robin arryn,He's little.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robin arryn,"You can't hurt us! No one can hurt us here! Tell him, mommy! Tell him!"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robin arryn,Mommy... I want to see the bad man fly.
2011-05-22,Season 1,Episode 6,A Golden Crown,robin arryn,What happened next?!
2011-05-22,Season 1,Episode 6,A Golden Crown,robin arryn,Make the bad man fly!
2011-05-22,Season 1,Episode 6,A Golden Crown,robin arryn,Is it over?
2011-05-22,Season 1,Episode 6,A Golden Crown,robin arryn,Can I make the little man fly now?
2011-06-05,Season 1,Episode 8,The Pointy End,robin arryn,I'm hungry.
2011-06-05,Season 1,Episode 8,The Pointy End,robin arryn,But I'm hungry!
