Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-22,Season 2,Episode 4,Garden of Bones,roose bolton,Five Lannisters dead for every one of ours. They're dead. Take everything they've got. We've nowhere to keep all these prisoners. Barely enough food to feed our own.
2012-04-22,Season 2,Episode 4,Garden of Bones,roose bolton,"Of course, Your Grace. The officers will be useful. Some of them may be privy to Tywin Lannister's plans."
2012-04-22,Season 2,Episode 4,Garden of Bones,roose bolton,"Well, we'll learn soon enough. In my family, we say, ""A naked man has few secrets. ""A flayed man none."""
2012-04-22,Season 2,Episode 4,Garden of Bones,roose bolton,We're not in the North.
2012-04-22,Season 2,Episode 4,Garden of Bones,roose bolton,"The high roado s very pretty, but you'll have a hard time marching your army down it."
2012-04-22,Season 2,Episode 4,Garden of Bones,roose bolton,Surely one of our men needs your attention more than this cub.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,roose bolton,Your Grace. My lady. News from Winterfell.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,roose bolton,We've sent a dozen ravens. None have returned. My bastard is only a few days from Winterfell. Once he captures the castle
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,roose bolton,He wouldn't dare hurt the boys. They're his only hope of escaping the North with his head.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,roose bolton,"A touch of mercy is a virtue, Your Grace. Too much-"
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,roose bolton,I expect his countrymen will turn on him the minute they hear the offer.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,roose bolton,My lady.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,roose bolton,We should set the siege lines a thousand yards from Harrenhal.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,roose bolton,I imagine the Mountain will defend whatever Tywin Lannister tells him to defend.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,roose bolton,"The debt will be repaid, my friend. For them and for your sons."
2013-03-31,Season 3,Episode 1,Valar Dohaeris,roose bolton,The Kingslayer won't remain free for long. My best hunters are after him.
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",roose bolton,"Pardon me, Your Grace. My queen."
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",roose bolton,Word from Riverrun and Winterfell.
2013-04-28,Season 3,Episode 5,Kissed by Fire,roose bolton,"Pick him up, Locke."
2013-04-28,Season 3,Episode 5,Kissed by Fire,roose bolton,You've lost a hand.
2013-04-28,Season 3,Episode 5,Kissed by Fire,roose bolton,Take this away.
2013-04-28,Season 3,Episode 5,Kissed by Fire,roose bolton,You'll hold your tongue unless you want to lose it.
2013-04-28,Season 3,Episode 5,Kissed by Fire,roose bolton,"Cut her free. Apologies, my lady. You're under my protection now."
2013-04-28,Season 3,Episode 5,Kissed by Fire,roose bolton,Find suitable rooms for our guests. We'll speak later.
2013-04-28,Season 3,Episode 5,Kissed by Fire,roose bolton,You haven't heard? Stannis Baratheon laid siege to King's Landing. Sailed into Blackwater Bay. Stormed the gates with thousands of men. And your sister How can I put this? Your sister is alive and well. Your father's forces prevailed.
2013-04-28,Season 3,Episode 5,Kissed by Fire,roose bolton,Ser Jaime isn't well. Take him to Qyburn.
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,I see my men have finally found you something appropriate to wear.
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,"When King Robb left Harrenhal, his mother was his prisoner. If she wasn't his mother, he'd have hanged her for treason."
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,I should send you back to Robb Stark.
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,Wars cost money. Many people would pay a great deal for you.
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,You're right. Perhaps the safest thing to do is to kill you both and burn your bodies.
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,King Robb is keeping your father quite busy. He doesn't have time for anything else.
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,"As soon as you're well enough to travel, I will allow you to go to King's Landing as restitution for the mistakes my soldiers made. And you will swear to tell your father the truth, that I had nothing to do with your maiming."
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,I don't partake.
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,"Oh, she won't be going with you."
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,You are charged with abetting treason.
2013-05-05,Season 3,Episode 6,The Climb,roose bolton,You're in no place to insist on anything. I would have hoped you'd learned your lesson about overplaying your position.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,roose bolton,Qyburn hopes your father will force the Citadel to give him back his chain.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,roose bolton,"You will give my regards to Lord Tywin, I trust?"
2013-06-09,Season 3,Episode 10,Mhysa,roose bolton,The Blackfish escaped.
2013-06-09,Season 3,Episode 10,Mhysa,roose bolton,As you say.
2013-06-09,Season 3,Episode 10,Mhysa,roose bolton,You'll be needing a new young girl.
2013-06-09,Season 3,Episode 10,Mhysa,roose bolton,He ignored my advice at every turn. If he'd been a trifle less arrogant-
2013-06-09,Season 3,Episode 10,Mhysa,roose bolton,Forever young.
2013-06-09,Season 3,Episode 10,Mhysa,roose bolton,At some point perhaps. But Winterfell's in ruins.
2013-06-09,Season 3,Episode 10,Mhysa,roose bolton,I sent my bastard Ramsay to root him out. Robb Stark offered amnesty for the Ironborn if they gave us Theon.
2013-06-09,Season 3,Episode 10,Mhysa,roose bolton,Ramsay delivered the terms. The Ironborn turned on Theon as we knew they would. They handed him over trussed and hooded. But Ramsay- well Ramsay has his own way of doing things.
