Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Did you hear the king's in Winterfell?
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,The queen has two brothers?
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,I hear they call him the Imp.
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,"We've been expecting you, Lord Tyrion."
2011-04-17,Season 1,Episode 1,Winter is Coming,ros,M'lord.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,I thought you were supposed to be an important person around here.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,"You're not the only nobleman in my life, you know."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,Jealous?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,Might surprise you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,He's good with his fingers too. And his tongue.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,You are jealous.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,And what about the Starks?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,"A “ward”, that's a nice word for it. Your father rebelled against King Robert and if he does it again…"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,You're a very serious boy.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,"Oh, yes you are. A serious boy, with a serious cock."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,ros,Then get yourself a wife.
2011-05-22,Season 1,Episode 6,A Golden Crown,ros,Going to King's Landing.
2011-05-22,Season 1,Episode 6,A Golden Crown,ros,I'll find a ship heading south in White Harbor.
2011-05-22,Season 1,Episode 6,A Golden Crown,ros,Some of my friends are more generous than others.
2011-05-22,Season 1,Episode 6,A Golden Crown,ros,I'll have lots of company…
2011-05-22,Season 1,Episode 6,A Golden Crown,ros,"And what will happen to me if I stay here? Will I become Lady Greyjoy, Mistress of the Iron Islands?"
2011-05-22,Season 1,Episode 6,A Golden Crown,ros,"I hear Jaime Lannister attacked Lord Stark in the streets of King's Landing. Every man for a hundred miles will be marching off to war soon and most of them will never come back, there's nothing more for me here. Let's go, Steffon."
2011-05-22,Season 1,Episode 6,A Golden Crown,ros,See what?
2011-05-22,Season 1,Episode 6,A Golden Crown,ros,I know.
2011-05-29,Season 1,Episode 7,You Win or You Die,ros,Come here.
2011-05-29,Season 1,Episode 7,You Win or You Die,ros,"Yes, My Lord."
2011-05-29,Season 1,Episode 7,You Win or You Die,ros,"Why don't you join us, My Lord?"
2011-05-29,Season 1,Episode 7,You Win or You Die,ros,What she doesn't know won't hurt her.
2011-05-29,Season 1,Episode 7,You Win or You Die,ros,She must be very beautiful.
2011-05-29,Season 1,Episode 7,You Win or You Die,ros,I do believe my lordo s in love.
2011-05-29,Season 1,Episode 7,You Win or You Die,ros,Is she still married to him?
2011-05-29,Season 1,Episode 7,You Win or You Die,ros,And what do you want?
2011-06-19,Season 1,Episode 10,Fire and Blood,ros,So what's the thing?
2011-06-19,Season 1,Episode 10,Fire and Blood,ros,"About kings. You said, ""The thing you need to understand about kings""."
2011-06-19,Season 1,Episode 10,Fire and Blood,ros,"When you started, you… Never mind."
2011-06-19,Season 1,Episode 10,Fire and Blood,ros,lt's all right. No need.
2012-04-22,Season 2,Episode 4,Garden of Bones,ros,"Happy nameday, Your Grace."
2012-04-22,Season 2,Episode 4,Garden of Bones,ros,We won't tell if you won't.
2012-04-22,Season 2,Episode 4,Garden of Bones,ros,Hmm.
