Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Will you shut up?
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Would you please shut up.
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,He's so handsome.
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,When would we be married? Soon or do we have to wait?
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,You left your home to come here. And I'd be queen someday. Please make father say yes.
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,"Please, please. It's the only thing I ever wanted."
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,"Thirteen, Your Grace."
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,"I think so, Your Grace."
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,"No, Your Grace."
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Arya!
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,"Pardon me, Ser."
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,"I'm sorry if I offended you, Ser. Why won't he speak to me?"
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,"Stay, Lady. I probably shouldn't have any more. Father only lets us have one cup at feasts."
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,Arya!
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,He the butcher's boy.
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,"Arya, stay out of this."
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,"No no, stop it, stop it, both of you. You're spoiling it. You're spoiling everything!"
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,"Arya, leave him alone. My prince, my poor prince, look what they did to you. Stay here, I'll go back to the inn and bring help."
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,I don't know. I don't remember. Everything happened so fast. I didn't see.
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,"He doesn't mean Lady, does he? No no, not Lady! Lady didn't bite anyone! She's good!"
2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,Stop them. Don't let them do it. Please! It wasn't Lady!
2011-05-01,Season 1,Episode 3,Lord Snow,sansa stark,Practicing for what?
2011-05-01,Season 1,Episode 3,Lord Snow,sansa stark,The Hound killed your friend.
2011-05-01,Season 1,Episode 3,Lord Snow,sansa stark,You're an idiot.
2011-05-01,Season 1,Episode 3,Lord Snow,sansa stark,I haven't played with dolls since I was eight. May I be excused?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,What if I have a girl?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,What if I only have girls?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"Jeyne Poole's mother had five children, all of them girls."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,But what if?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,And everyone would hate me.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Joffrey does.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Please shut up about it.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Aegon the Conqueror.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Maegor the Cruel.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"My grandfather and uncle were murdered here, weren't they?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,The Mad King.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Why were they killed?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"I don't want to speak to my father, ever."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"No, I won't."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,I'm sorry. Do I...?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Arya!
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"Gods, who is that?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,And his opponent?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,I won't tell anyone. I promise.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,At her dancing lessons. The Knight of the Flowers.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,"Thank you, Ser Loras."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,Don't let Ser Gregor hurt him.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,I can't watch.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,He's going to die.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,Ser Loras would never do that! There's no honor in tricks.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,"Well, why shouldn't I? We're in the south."
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,My mother isn't from the North.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,Why do you care? Do you even have hair under there?
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,I've never seen it.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,"No. Where are you from anyway, the north or the south?"
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,"Oh, wait. I just realized… I don't care."
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,Septa.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,My prince.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,It's beautiful. Like the one your mother wears.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,There's nothing to forgive.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,What?!
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,What about Joffrey?
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,"Please, Father. Please don't."
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,Who cares about your stupid dancing teacher? I can't go. I'm supposed to marry Prince Joffrey. I love him and I'm meant to be his queen and have his babies.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,"I don't want someone brave and gentle and strong. I want him! He'll be the greatest king that ever was, a golden lion, and I'll give him sons with beautiful blond hair."
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,He is not. He's nothing like that old drunk king.
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,Wait!
2011-05-22,Season 1,Episode 6,A Golden Crown,sansa stark,It's not fair!
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,She didn't forget. She's with her dancing master.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,What is it? What's happening?
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,Stay away from me.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,He wouldn't do that. He knows how much I love Joffrey.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,"No, I'm not."
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,Robb.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,"If...if I could see my father, talk to him about..."
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,I only meant that...what will happen to him?
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,On...on what?
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,Ser Aron.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,Lord Gyles.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,Your Grace.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,I do.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,"As it please Your Grace, I ask mercy for my father, Lord Eddard Stark, who was Hand of the King."
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,"Thank you, Your Grace."
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,"No, My Lords. I know he must be punished."
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,He was badly hurt.
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,"If you still have any affection in your heart for me, please do me this kindness, Your Grace."
2011-06-05,Season 1,Episode 8,The Pointy End,sansa stark,He will.
2011-06-12,Season 1,Episode 9,Baelor,sansa stark,"No, stop! Please, someone stop him!"
2011-06-12,Season 1,Episode 9,Baelor,sansa stark,"Stop him, stop!"
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,"Thank you, my lord."
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,"No! Please, no!"
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,You promised to be merciful.
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,"Please let me go home. l won't do any treason, l swear –"
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,How long do l have to look?
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,lf it please Your Grace.
2011-06-19,Season 1,Episode 10,Fire and Blood,sansa stark,Or maybe he'll give me yours.
2012-04-01,Season 2,Episode 1,The North Remembers,sansa stark,"It was well struck, Your Grace."
2012-04-01,Season 2,Episode 1,The North Remembers,sansa stark,"Yes, Your Grace."
2012-04-01,Season 2,Episode 1,The North Remembers,sansa stark,You can't!
2012-04-01,Season 2,Episode 1,The North Remembers,sansa stark,I only meant… it would be bad luck to kill a man on your name day.
2012-04-01,Season 2,Episode 1,The North Remembers,sansa stark,He is. A fool - you're so clever to see it. He'll make a much better fool than a knight. He doesn't deserve the mercy of a quick death.
2012-04-01,Season 2,Episode 1,The North Remembers,sansa stark,"My father was a traitor. My mother and brother are traitors, too. I am loyal to my beloved Joffrey."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sansa stark,"Pardon, Your Grace. I'm sure your dress will be beautiful, Myrcella. I'm counting the days until the fighting is done and I can pledge my love to the King in sight of the gods."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sansa stark,Come in.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sansa stark,Who are you?
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sansa stark,I didn't know I needed a new handmaiden. You're not from here.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sansa stark,What are you doing?
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sansa stark,I shouldn't have to tell you to do things. You should just do them.
