Release Date,Season,Episode,Episode Title,Name,Sentence
2011-06-12,Season 1,Episode 9,Baelor,shae,ls that why l'm here? So we can talk about our mothers?
2011-06-12,Season 1,Episode 9,Baelor,shae,Foreign.
2011-06-12,Season 1,Episode 9,Baelor,shae,What do you want from me?
2011-06-12,Season 1,Episode 9,Baelor,shae,And what do l get?
2011-06-12,Season 1,Episode 9,Baelor,shae,Who told you this? Women you paid?
2011-06-12,Season 1,Episode 9,Baelor,shae,Let's start with your last night in this world.
2011-06-12,Season 1,Episode 9,Baelor,shae,"Are you in agony, my lion?"
2011-06-12,Season 1,Episode 9,Baelor,shae,You look like you're in agony. The fire is burning your pretty soft skin.
2011-06-12,Season 1,Episode 9,Baelor,shae,Just used to it.
2011-06-12,Season 1,Episode 9,Baelor,shae,What are you good at?
2011-06-12,Season 1,Episode 9,Baelor,shae,l don't want to play this game.
2011-06-12,Season 1,Episode 9,Baelor,shae,What brought you up there?
2011-06-12,Season 1,Episode 9,Baelor,shae,l don't want to play.
2011-06-12,Season 1,Episode 9,Baelor,shae,Drink.
2011-06-12,Season 1,Episode 9,Baelor,shae,Drink!
2011-06-12,Season 1,Episode 9,Baelor,shae,"Drink! And don't talk about my mother and father ever, or l will carve your eyes from your head."
2011-06-12,Season 1,Episode 9,Baelor,shae,My turn.
2011-06-12,Season 1,Episode 9,Baelor,shae,Who were you in love with?
2011-06-12,Season 1,Episode 9,Baelor,shae,l don't care the way the game works.
2011-06-12,Season 1,Episode 9,Baelor,shae,Married?
2011-06-12,Season 1,Episode 9,Baelor,shae,Not another night. This night.
2011-06-12,Season 1,Episode 9,Baelor,shae,"Oh, maybe l will cry."
2011-06-12,Season 1,Episode 9,Baelor,shae,You should have known she was a whore.
2011-06-12,Season 1,Episode 9,Baelor,shae,A girl who was almost raped doesn't invite another man into her bed two hours later.
2011-06-12,Season 1,Episode 9,Baelor,shae,You are still young and stupid.
2011-06-12,Season 1,Episode 9,Baelor,shae,You'll be dead. How will you know?
2011-06-19,Season 1,Episode 10,Fire and Blood,shae,Hand of the King?
2011-06-19,Season 1,Episode 10,Fire and Blood,shae,And your father said you couldn't take anyone with you to King's Landing?
2011-06-19,Season 1,Episode 10,Fire and Blood,shae,He knew my name?
2011-06-19,Season 1,Episode 10,Fire and Blood,shae,"He said, ""Don't bring Shae with you to King's Landing""?"
2011-06-19,Season 1,Episode 10,Fire and Blood,shae,Are you ashamed of me? Are you afraid that l'm dancing around the court with my tits out?
2011-06-19,Season 1,Episode 10,Fire and Blood,shae,"I'm funny now? l'm Shae, the funny whore."
2011-06-19,Season 1,Episode 10,Fire and Blood,shae,l know what a Hand needs.
