Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-01,Season 2,Episode 1,The North Remembers,stannis baratheon,For the night is dark and full of terror.
2012-04-01,Season 2,Episode 1,The North Remembers,stannis baratheon,"He wasn't my beloved brother. . I didn't love him, he didn't love me."
2012-04-01,Season 2,Episode 1,The North Remembers,stannis baratheon,A lie. Take it out.
2012-04-01,Season 2,Episode 1,The North Remembers,stannis baratheon,"Jaime Lannister, the Kingslayer. Call him what he is."
2012-04-01,Season 2,Episode 1,The North Remembers,stannis baratheon,"Make it Ser Jaime Lannister, the Kingslayer. Whatever else he is, the man's still a knight."
2012-04-01,Season 2,Episode 1,The North Remembers,stannis baratheon,"When Eddard Stark learned the truth, he told only me. I'll not make the same mistake. Send copies of that letter to every corner of the Realm, from the Arbor to the Wall. The time has come to choose. Let no man claim ignorance as an excuse."
2012-04-01,Season 2,Episode 1,The North Remembers,stannis baratheon,I'll not make peace with Renly while he calls himself King.
2012-04-01,Season 2,Episode 1,The North Remembers,stannis baratheon,"Who would steal the northern half of my kingdom. I've always served thieves according to their desserts, as you well know, Ser Davos. Joffrey, Renly, Robb Stark, they're all thieves. They'll bend the knee or I'll destroy them."
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,Send copies of that letter to every corner of the realm.
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,How did it fare with your pirate?
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,"In my experience, pirates prefer fighting unarmed men."
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,It won't be a choice this time. Do you trust him?
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,"Well if he does his job, he'll have his share. Leave us."
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,What did you say to him?
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,Why?
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,Yeah.
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,Tell your lord to burn them then.
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,My little brother has a hundred thousand men according to the scouts. Men whose allegiance rightly belongs to me.
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,"Faith? In a real war, the side with the greater number wins nine times out of ten."
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,"I cannot defeat my brother in the field, and I can't take King's Landing without the men he stole."
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,"I've said the words, damn you! I burnt the idols."
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,I have a wife. I took a vow.
2012-04-08,Season 2,Episode 2,The Night Lands,stannis baratheon,A son?
2012-04-22,Season 2,Episode 4,Garden of Bones,stannis baratheon,"Lady Stark, I had not thought to find you in the Stormlands."
2012-04-22,Season 2,Episode 4,Garden of Bones,stannis baratheon,Who else might it be?
2012-04-22,Season 2,Episode 4,Garden of Bones,stannis baratheon,My own.
2012-04-22,Season 2,Episode 4,Garden of Bones,stannis baratheon,"Watch yourself, Renly."
2012-04-22,Season 2,Episode 4,Garden of Bones,stannis baratheon,That's twice I've warned you.
2012-04-22,Season 2,Episode 4,Garden of Bones,stannis baratheon,"It is strange to find you beside my brother, Lady Stark. Your husband was a supporter of my claim. Lord Eddardo s integrity cost him his head. And you sit beside this pretender and chastise me."
2012-04-22,Season 2,Episode 4,Garden of Bones,stannis baratheon,The Iron Throne is mine by right. All those that deny that are my foes.
2012-04-22,Season 2,Episode 4,Garden of Bones,stannis baratheon,"For the sake of the mother who bore us, I will give you this one night to reconsider. Strike your banners, come to me before dawn, and I will grant you your old seat in the Council. I'll even name you my heir until a son is born to me. Otherwise I shall destroy you."
