Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,Attacking him was stupid.
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,Lannisters don't act like fools.
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,Why is he still alive?
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,Ned Stark.
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,Clean...
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,You spend too much time worrying about what other people think of you.
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,Now that's what you want people to think of you.
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,"When you hear them whispering ""Kingslayer"" behind your back, doesn't it bother you?"
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,The lion doesn't concern himself with the opinions of the sheep.
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,"He's a Lannister. He might be the lowest of the Lannisters, but he's one of us."
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,"No, it's not an opinion, it's a fact!"
2011-05-29,Season 1,Episode 7,You Win or You Die,tywin lannister,Hmm.
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,The rumors of your demise were unfounded.
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,And who are these Companions of yours?
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,"This is Shagga Son of Dolf, Chieftain of the Stone Crows."
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,You left us no choice. The honor of the House was at stake.
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,Is our hostage.
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,Robert Baratheon is dead.
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,A green boy.
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,The wolf rushes into the lion's jaws.
2011-06-05,Season 1,Episode 8,The Pointy End,tywin lannister,It is said that the men of the Mountain clans are great warriors.
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,"The boy may lack experience and sense, but he does have a certain mindless provincial courage."
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,"l do hope your savages are going to be of some use, otherwise we've wasted good steel on them."
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,"When the battle commences, you and your wildlings will be in the vanguard."
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,"When soldiers lack discipline, the fault lies with their commander."
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,There'll be no more discussion on the matter.
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,You're wounded.
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,"Huh! The scouts were wrong. There were 2,000 Stark bannermen, not 20 [thousand]."
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,He wasn't here.
2011-06-12,Season 1,Episode 9,Baelor,tywin lannister,"With his other 18,000 men."
2011-06-19,Season 1,Episode 10,Fire and Blood,tywin lannister,They have my son.
2011-06-19,Season 1,Episode 10,Fire and Blood,tywin lannister,"They have my son! Get out, all of you. Not you. You were right about Eddard Stark. lf he were alive, we could have used him to broker a peace with Winterfell and Riverrun, which would have given us more time to deal with Robert's brothers. But now – madness. Madness and stupidity. l always thought you were a stunted fool. Perhaps l was wrong."
2011-06-19,Season 1,Episode 10,Fire and Blood,tywin lannister,No one will stay here. Ser Gregor will head out with 500 riders and set the Riverland on fire from Godo s Eye to the Red Fork. The rest of us will regroup at Harrenhal. And you will go to King's Landing.
2011-06-19,Season 1,Episode 10,Fire and Blood,tywin lannister,"Rule. You will serve as Hand of the King in my stead. You will bring that boy king to heel, and his mother too, if needs be. And if you get so much as a whiff of treason from any of the rest – Baelish, Varys, Pycelle…"
2011-06-19,Season 1,Episode 10,Fire and Blood,tywin lannister,"You're my son. Oh, one more thing. You will not take that whore to court. Do you understand?"
2012-04-22,Season 2,Episode 4,Garden of Bones,tywin lannister,What's this?
2012-04-22,Season 2,Episode 4,Garden of Bones,tywin lannister,Evidently not. Why are these prisoners not in their cells?
2012-04-22,Season 2,Episode 4,Garden of Bones,tywin lannister,Are we so well-manned that we can afford to discard able young bodies and skilled laborers?
2012-04-22,Season 2,Episode 4,Garden of Bones,tywin lannister,"You, do you have a trade?"
2012-04-22,Season 2,Episode 4,Garden of Bones,tywin lannister,"He'll do no such thing. This one's a girl, you idiot, dressed as a boy. Why?"
2012-04-22,Season 2,Episode 4,Garden of Bones,tywin lannister,Smart. More than I can say for this lot. Get these prisoners to work. Bring the girl. I need a new cupbearer.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,The Starks understand winter better than we ever will. The cold won't beat them.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,"And I'm sure if those same spies snuck into our own encampments, they would report growing discontent amongst the Southern lords. This is war, no one's content. We've underestimated the Stark boy for too long. He has a good mind for warfare, his men worship him. And as long as he keeps winning battles, they'll keep believing he is King in the North. You've been waiting for him to fail. He is not going to fail, not without our help. So how do we stop him?"
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,"Yes, I think you would, Reginald. And because you're my cousin, I might even let you wake from that sleep. Go, I'm sure your wife must miss you."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,"Well, then you'd better start riding. Go, before I change my mind and send her your head."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,"If your name wasn't Lannister, you'd be scrubbing out pots in the cook's tent. Go!"
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,"Not wine, water. We'll be here for some time. Girl, where are you from?"
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,And who are the Lords of Maidenpool? Remind me.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,And what is their sigil?
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,"A red salmon. I think a Maidenpool girl would remember that. You're a Northerner, aren't you?"
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,"Good. One more time, where are you from?"
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,And what do they say of Robb Stark in the North?
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,And?
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,And do you believe them?
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,tywin lannister,Fetch that water.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Can you read?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,This letter detailing our infantry movements was meant for Lord Damon of House Marbrand. It was sent to Lord Marlyn of House Dormand.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"Girl, fetch me the History of the Greater and the Lesser Houses. It's the one on this-"
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,My cupbearer can read better than you.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,To whom does House Dormand owe allegiance?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"To the Starks of Winterfell! Who have twenty thousand men and my son! I judged you might be good for something more than brutalizing peasants. I see I overestimated you. If you ever put my son's life at risk again, I'll Leave us."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"Put the book away, girl. Maybe you should devise our next battle plan while you're about it."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Mmm. Give us the room.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Clear all this.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Baelish.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Wine?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,What news from the capital?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"Ah, the late King Renly. Rather a short reign. Murdered by a woman, I hear."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Here. Men love to blame demons when their grand plans unravel.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"You say that as if you were the first man alive to think it. Yes, a crisis is an opportunity. What other brilliant insights have you brought me today?"
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"Yes, yes, yes."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Wants to be queen.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,House Tyrell rebelled against the Iron Throne. Against my grandson.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,More wine for Lord Baelish.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,You would ride there yourself?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"I'll have an answer by nightfall. That'll be all, girl."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,And what else?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Why?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Hmm.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Who taught you to read?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"Hmm. I taught my son Jaime to read. The maester came to me one day, told me he wasn't learning. He couldn't make sense of the letters. He reversed them in his head. The maester said he'd heard tell of this affliction and that we simply must accept it. Ha! After that, I sat Jaime down for four hours every day until he learned. He hated me for it, for a time. For a long time. But he learned. Hmm. Where is your father? Is he alive? Who was he?"
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,A stonemason who could read? Hmm.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Quite a man. What killed him?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"You're a sharp little thing, aren't you?"
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,No. But you've already begun.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,I did. I grew up with him. I watched him grow old.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"He loved us. He was a good man, but a weak man. A weak man who nearly destroyed our house and name. I'm cold."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Mmm.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Guard!
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Wolfsbane. A rare substance. This is no common assassin.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,I don't care if you hanged a hundred. A man tried to kill me. I want his name and I want his head.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"Pretentious name for a band of outlaws. We can't allow rebels behind our lines to harass us with impunity. We look like fools and they look like heroes. That's how kings fall. I want them dead, every one."
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"Burn the villages, burn the farms. Let them know what it means to choose the wrong side."
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Mmm. Is that mutton?
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Don't like mutton.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Leave it. Are you hungry?
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Of course you are. Eat.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,It's bad manners to refuse a lordo s offer. Sit. Eat.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,You're small for your age. I suppose you've been underfed your whole life.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Mmm. This will be my last war. Win or lose.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Do you think I'd be in my position if I had lost a war?
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"But this is the one I'll be remembered for. The War of the Five Kings, they're calling it. My legacy will be determined in the coming months."
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Do you know what legacy means? It's what you pass down to your children and your children's children. It's what remains of you when you're gone. Harren the Black thought this castle would be his legacy. The greatest fortress ever built.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"The tallest towers, the strongest walls. The Great Hall had thirty-five hearths. Thirty-five. Can you imagine? Look at it now. A blasted ruin. Do you know what happened?"
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Yes. Dragons happened.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"Harrenhal was built to withstand an attack from the land. A million men could have marched on these walls, and a million men would have been repelled. But an attack from the air with dragon fire, Mmm-mmm. Harren and all his sons roasted alive within these walls. Aegon Targaryen changed the rules. That's why every child alive still knows his name"
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Mmm?
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"Correct. A student of history, are you?"
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,I'm sure I knew that when I was a boy.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"Hmm. She's a heroine of yours, I take it?"
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,Aren't most girls more interested in the pretty maidens from the songs? Jonquil with the flowers in her hair?
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,You remind me of my daughter. Where did you learn all this stuff about Visenya and her Valyrian steel sword?
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,He was a well-read stonemason. Can't say I've ever met a literate stonemason.
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"Careful now, girl. I enjoy you, but be careful. Take that back to the kitchen. Eat what you want."
2012-05-13,Season 2,Episode 7,A Man Without Honor,tywin lannister,"And, girl."
