Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-01,Season 1,Episode 3,Lord Snow,varys,Lord Stark.
2011-05-01,Season 1,Episode 3,Lord Snow,varys,I was grievously sorry to hear of your troubles on the Kingsroad. We are all praying for Prince Joffrey's full recovery.
2011-05-01,Season 1,Episode 3,Lord Snow,varys,His Grace has many cares. He entrusts some small matters to us that we might lighten the load.
2011-05-01,Season 1,Episode 3,Lord Snow,varys,"You are the King's Hand, Lord Stark, we serve at your pleasure."
2011-05-01,Season 1,Episode 3,Lord Snow,varys,Lady Stark.
2011-05-01,Season 1,Episode 3,Lord Snow,varys,To see you again after so many years is a blessing. Your poor hands.
2011-05-01,Season 1,Episode 3,Lord Snow,varys,"Knowledge is my trade, my Lady. Did you bring the dagger with you, by any chance? My little birds are everywhere. Even in the north. They whisper to me the strangest stories. Valyrian steel."
2011-05-01,Season 1,Episode 3,Lord Snow,varys,I must admit I do not.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",varys,Dreadful.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",varys,"The realm prospers from such events, my Lord. They give the great a chance at glory, and the lowly a respite from their woes."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"How is your son, my Lord?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,But his mind is sound?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,A blessing then. I suffered an early mutilation myself. Some doors close forever... others open in the most unexpected places. May I?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"If the wrong ears heard what I'm about to tell you, off comes my head. And who would mourn poor Varys then? North or South, they sing no songs for spiders. But there are things you must know. You are the King's Hand and the King is a fool... your friend, I know, but a fool... and doomed unless you save him."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,I didn't trust you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"The Queen is not the only one who has been watching you closely. There are few men of honor in the capital. You are one of them. I would like to believe I am another, strange as that may seem."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"The same sort as Jon Arryn. The tears of Lys, they call it. A rare and costly thing, as clear and tasteless as water. It leaves no trace."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"Some dear friend, no doubt. But which one? There were many. Lord Arryn was a kind and trusting man. There was one boy... all he was he owed to Jon Arryn."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"Pity what happened to him, just when his life seemed to be going so nicely."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,Someone who could afford it.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,He started asking questions.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,He's found one bastard already. He has the book. The rest will come.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"The gods alone know. The fools tried to kill his son. What's worse, they botched it. The wolf and the lion will be at each other's throats. We will be at war soon, my friend."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,This Hand is not the other.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"Delay,"" you say. ""Move fast, "" I reply. This is no longer a game for two players."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,The first to arrive and the last to leave. I admire your industry.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,We all have our qualities.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,I think you're mistaking business with pleasure.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"Oh, I'm sure. Lord Redwyne likes his boys very young, I hear."
