Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,I'm heading that way. I can take you there.
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,You been at sea long? Or were there just no women where you came from?
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,You don't know what I'm like.
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,You think I offer free rides to every man in jewelry. Lord Greyjoy.
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,Nine years. Do you still know your way around a ship? Have these hands ever touched a rope?
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,Your blood will be in the sea if I don't watch where I'm going.
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,Is that an offer from my future king?
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,I don't imagine it will be a story fit for children.
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,Anything with a cock is easy to fool.
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,"So good to see you, brother. This is a homecoming I'll tell my grandchildren about."
2012-04-08,Season 2,Episode 2,The Night Lands,yara greyjoy,You're the one in skirts.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,"I live here. Are you angry with me, brother?"
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,It's not my fault you didn't recognize me.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,"You were a fat little boy, too, but I recognized you."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,I wanted to see who you were first. And I did.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,Father.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,I've always wanted a castle.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,The Sea Bitch. We thought she'd be perfect for you.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,Be careful of their nets.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,They won't even know we're there until it's too late.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,You'd have our father bow down to your other family?
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,yara greyjoy,"Don't you? Make your choice, Theon, and do it quickly. Our ships sail with or without you."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,yara greyjoy,Stop. We yield.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,yara greyjoy,Congratulations on your first command.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,yara greyjoy,"Oh, I'm not here for you. I was just on my way to Red Harbor. I've got thirty ships. There's nowhere to put them here. Too narrow."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,yara greyjoy,"That would never happen. My crew would wait on deck for a year if I asked them to. This lot, though... Enjoy the Stony Shore."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,"Why, it's the Prince of Winterfell."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,What envy?
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,"You're a great warrior. I saw the bodies above your gates. Which one gave you the tougher fight, the cripple or the six-year-old?"
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,You treated them with honor? By butchering them?
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,"You seized their home, as is your right. We're Ironborn, we take what we need."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,Then you made them prisoners in their home and they ran away. Is that treachery? I'd call it bravery.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,Your little boy prisoners made you a promise and you got mad when they broke it? Are you the dumbest cunt alive?
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,A cunt. A dumb cunt who killed the only two Starks in Winterfell. You know how valuable those boys were?
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,You are weak. And you're stupid.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,"Go on, then. Warn me."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,You're not. I've come to bring you home. Father wants a word.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,"Aye, it is, hundreds of miles from the sea. We're islanders, baby brother. Had you forgotten that? Our power comes from our ships. And now that you've decorated your walls with the bodies of the Stark boys, every man in the North wants to see you hanged. When Robb Stark finds out-"
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,Leave us.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,"Theon, you're my blood. We both loved our mother. We both endured our father. Come home with me. Don't die here alone."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,"You were a terrible baby, do you know that? Bawling all the time, never sleeping. And one night, you just wouldn't shut up, screaming like a dying pig. I walked over to your crib, I looked down at you. I wanted to strangle you. And you looked up at me and you stopped screaming. You smiled at me. Don't die so far from the sea."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,yara greyjoy,Shut up. What did you bring?
2013-06-09,Season 3,Episode 10,Mhysa,yara greyjoy,He's your son.
2013-06-09,Season 3,Episode 10,Mhysa,yara greyjoy,He's your son. He's my brother. He's a Greyjoy.
2013-06-09,Season 3,Episode 10,Mhysa,yara greyjoy,And I've made mine. I'm going to pick the fastest ship in our fleet.
2013-06-09,Season 3,Episode 10,Mhysa,yara greyjoy,I'm going to choose the fifty best killers on the Iron Islands.
2013-06-09,Season 3,Episode 10,Mhysa,yara greyjoy,I'm going to sail up the Narrow Sea all the way to the Weeping Water. I'm going to march on the Dreadfort. I'm going to find my little brother and I'm going to bring him home.
