Release Date,Season,Episode,Episode Title,Name,Sentence
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Ygritte.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,I gave you my name.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,You ought to burn them you killed.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Burn them or maybe you'll need those swords again.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,The Free Folk.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,"Hundreds and thousands. More than you've ever seen, crow."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Qhorin Halfhand.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,"They'd take your head off your shoulders if they was feeling kind. If not, they'd kill you slow."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,"You never killed a woman before, did you? You don't need to do it. Mance would take you. I know he would. There's secret ways. The crows would never catch us."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Will you burn me? After?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,"Strike hard and true, Jon Snow, or I'll come back and haunt you. That's cold."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Go on. Be quick about it.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,"Do it. Bastard, do it!"
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,You can't do it. We both know it.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,"The sun's going down, Jon Snow. And your friends are nowhere close."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Call for them. Go on. Call loudly.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Your brothers desert you? I can tell you which way to go.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Here? There's no shelter here.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,There is if you know where to look. The cold could kill us both. If you light a fire-
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,But a fire is-
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Have it your way.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,We'll stay warmer if we stay close.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Bet you freeze to death before I do. Bet your life.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Think they're out looking for you?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Think they'll find you?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,"You're brave. Stupid, but brave."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,I'm just trying to get comfortable.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,ygritte,Was I? I didn't notice that time.
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,Did you pull a knife on me in the night?
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,What's the matter? Can't be the first time you pressed your bone against a woman's arse.
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,"It is the first time. How old are you, boy?"
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,You're a boy who's never been with a girl. Don't your stones start to hurt if your bone never gets-
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,"What, stones? Or bone?"
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,"I heard they get all swollen and bruised if you don't use them. Of course, maybe that's just what the lads say when they want me feeling sorry for them. As if I'd feel sorry for them. Are there no girl crows?"
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,So the lads just do it with each other?
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,Never?
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,"You have sheep at the Wall? With your hands, then? No wonder you're all so miserable."
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,"Would you please shut up? You think you're better than me, crow. I'm a free woman."
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,"I might be your prisoner, but I'm a free woman."
2012-05-13,Season 2,Episode 7,A Man Without Honor,ygritte,And you think you're free? You swore some stupid oath and now you can never touch a girl.
