,Positive,Negative,Neutral,Compound
man,0.0,0.692,5.308,-0.6705
mar,0.0,0.0,1.0,0.0
yara greyjoy,2.042,7.026999999999999,6.933,-3.8176000000000005
theon greyjoy,2.393,5.535,6.072,-2.9317
ygritte,0.0,1.159,6.840999999999999,-1.2128
lord of bones,0.615,1.7109999999999999,3.6739999999999995,-1.3693
jon snow,1.0,1.0,1.0,-0.04679999999999995
qhorin,0.0,0.0,1.0,0.0
wildling,0.0,0.0,2.0,0.0
talisa,4.686999999999999,2.081,8.231,1.4307000000000003
robb stark,5.167999999999999,3.257,15.575000000000003,-0.2756999999999999
rider,0.412,0.0,0.588,0.4215
catelyn stark,0.0,0.9199999999999999,6.08,-1.0414999999999999
rickard karstark,0.059,1.21,0.732,-1.4529
soldier,1.0,0.0,1.0,0.4215
jaime lannister,2.571,4.058,5.3709999999999996,-0.8304000000000001
brienne,0.929,3.5,3.5709999999999997,-1.6198000000000001
kevan,0.635,0.142,3.223,0.9146000000000001
tywin lannister,0.293,1.5989999999999998,4.107,-2.1667
guard,0.0,0.701,1.299,-0.6908
rorge,0.407,1.037,0.5549999999999999,-0.8756999999999999
arya stark,4.762,3.4989999999999997,9.739,-0.8240999999999999
hot pie,1.638,0.476,5.886,0.9678
gendry baratheon,1.255,0.26,4.484999999999999,1.0798
quorin,0.558,1.295,1.147,-1.1204
tyrion lannister,14.282,12.458,25.259999999999998,-0.9155999999999995
bronn,1.569,2.469,7.962,-1.0572
varys,4.121,2.448,8.431,1.3927
sam,0.6960000000000001,1.3,7.004,-0.4633
dolorous edd,0.0,3.1159999999999997,2.8840000000000003,-2.1035999999999997
grenn,0.0,1.067,4.933,-0.6546000000000001
eddision,0.0,0.0,1.0,0.0
jaqen hghar,2.626,1.5699999999999998,5.802,1.0324
cersei lannister,3.8320000000000003,8.194,6.974,-4.7129
ros,0.0,1.0,0.0,-0.2263
shae,0.762,2.608,0.63,-0.7327
roose bolton,1.28,0.657,3.063,0.17689999999999995
davos,5.9190000000000005,1.2770000000000001,5.804,2.1208
stannis baratheon,1.935,2.7809999999999997,7.285000000000001,-1.1791000000000003
joffrey lannister,0.83,0.565,2.605,0.5586
jorah mormont,0.954,1.329,3.716,-0.1562
daenerys targaryen,0.592,0.294,5.114,0.07919999999999999
dagmer,0.0,0.831,2.169,-0.5104
osha,0.302,1.2149999999999999,2.4829999999999997,-0.7826
luwin,0.0,0.545,1.455,-0.34
