,Positive,Negative,Neutral,Compound
Alliser Thorne,0.168,0.254,0.579,-0.9916
Arya Stark,0.112,0.328,0.56,-1.0
Barristan Selmy,0.27,0.296,0.434,-0.6705
Benjen Stark,0.219,0.215,0.566,-0.1531
Beric Dondarrion,0.0,0.0,1.0,0.0
Bran Stark,0.146,0.249,0.605,-0.9992
Bronn,0.177,0.31,0.513,-0.9997
Catelyn Stark,0.204,0.248,0.548,-0.9955
Cersei Lannister,0.223,0.269,0.508,-0.9998
Craster,0.204,0.176,0.62,0.7184
Daario Naharis,0.341,0.0,0.659,0.4767
Daenerys Targaryen,0.207,0.255,0.539,-0.9998
Eddard Stark,0.217,0.233,0.55,-0.9906
Euron Greyjoy,0.24,0.289,0.471,-0.9844
Gilly,0.155,0.278,0.567,-0.9961
Grey Worm,0.215,0.34,0.446,-0.9976
Hodor,0.0,0.0,1.0,0.0
Hot Pie,0.129,0.184,0.688,-0.9652
Jaime Lannister,0.192,0.288,0.52,-0.9999
Janos Slynt,0.147,0.199,0.653,-0.7717
Jeor Mormont,0.15,0.207,0.643,-0.9686
Jon Snow,0.166,0.268,0.565,-0.9999
Jorah Mormont,0.187,0.242,0.571,-0.9988
Khal Drogo,0.0,0.231,0.769,-0.8519
Kraznys mo Nakloz,0.0,0.664,0.336,-0.9792
Lady Crane,0.219,0.334,0.447,-0.9885
Lancel Lannister,0.635,0.144,0.221,0.9062
Leaf,0.0,0.545,0.455,-0.7184
Loras Tyrell,0.223,0.336,0.442,-0.9274
Lysa Arryn,0.304,0.241,0.455,0.9432
Mace Tyrell,0.6,0.0,0.4,0.7184
Maester Aemon,0.229,0.115,0.656,0.9801
Maester Pycelle,0.04,0.404,0.556,-0.9764
Margaery Tyrell,0.326,0.183,0.492,0.9996
Melisandre,0.168,0.312,0.52,-0.9997
Meryn Trant,0.155,0.365,0.48,-0.9628
Mirri Maz Duur,0.124,0.269,0.607,-0.9761
Missandei,0.273,0.178,0.548,0.9972
Oberyn Martell,0.162,0.371,0.468,-0.9996
Olenna Tyrell,0.206,0.288,0.506,-0.9988
Olly,0.134,0.207,0.659,-0.7096
Osha,0.15,0.207,0.643,-0.9902
Pyat Pree,0.249,0.072,0.679,0.8555
Qyburn,0.33,0.205,0.465,0.9969
Ramsay Bolton,0.196,0.293,0.511,-0.9991
Renly Baratheon,0.174,0.336,0.49,-0.9913
Rickard Karstark,0.105,0.51,0.386,-0.9986
Rickon Stark,0.0,0.0,1.0,0.0
Robb Stark,0.194,0.271,0.536,-0.9991
Robert Baratheon,0.18,0.316,0.504,-0.9992
Robin Arryn,0.0,0.658,0.342,-0.9538
Roose Bolton,0.183,0.231,0.586,-0.9355
Ros,0.249,0.146,0.604,0.9744
Sansa Stark,0.246,0.277,0.476,-0.9989
Shae,0.239,0.376,0.385,-0.9984
Stannis Baratheon,0.192,0.276,0.531,-0.9993
Syrio Forel,0.116,0.385,0.499,-0.9948
Theon Greyjoy,0.13,0.334,0.537,-0.9999
Tyrion Lannister,0.226,0.278,0.496,-1.0
Tywin Lannister,0.193,0.248,0.559,-0.9994
Varys,0.253,0.229,0.519,0.9962
Walder Frey,0.123,0.284,0.593,-0.9914
Will,0.059,0.349,0.592,-0.8834
Wun Wun,0.0,0.0,1.0,0.0
Yara Greyjoy,0.131,0.346,0.523,-0.9995
Ygritte,0.126,0.303,0.571,-0.9994
